player,team,position,age_2026,overall_rating,shooting_composite,age_factor,expected_goals_total,expected_assists_total,expected_g_plus_a,xg_per_game,expected_remaining_games,xg_ci_low,xg_ci_high,current_goals,current_assists,current_mins,current_matches,card_risk_for_team,group,confederation,fifa_rank,rank,golden_boot_prob_pct,wc2022_xg,wc2022_shots,wc2022_g90_equiv,career_g90,career_minutes_sample,attribute_g90,blended_g90,xg_data_source
Romelu Lukaku,Belgium,Center Forward,31,86,0.686,0.87,1.63,0.46,1.8,0.3119,3.8,1.17,2.15,1.0,0,180,2,Low,G,UEFA,9,11,2.5,1.68415473,5,0.3368,,0.0,0.3283,0.33558571428571426,WC2022 actual + FIFA model
Richarlison,Brazil,Center Forward,27,85,0.699,0.98,1.6,0.62,2.24,0.343,4.3,1.15,2.11,1.0,0,145,2,Low,C,CONMEBOL,6,12,3.02,1.617659122,8,0.3235,,0.0,0.3768,0.33111428571428575,WC2022 actual + FIFA model
Ismael Saibari,Morocco,Attacking Midfield,22,83,0.674,0.93,1.59,0.94,2.2,0.2728,3.5,1.14,2.1,3.0,0,180,2,Low,C,CAF,7,13,2.33,,0,,,0.0,0.3448,0.3448,FIFA model
Julian Álvarez,Argentina,Center Forward,24,87,0.719,1.0,1.57,0.74,3.05,0.4418,4.9,1.13,2.07,1.0,0,174,1,Low,J,CONMEBOL,1,14,4.31,1.908327433,11,0.3817,0.03786285233487589,4754.0,0.3955,0.2799288557004628,WC2022 actual + club season + FIFA model
Viktor Gyökeres,Sweden,Center Forward,27,89,0.735,0.98,1.52,0.53,1.71,0.368,2.8,1.09,2.01,2.0,1,156,2,Low,F,UEFA,38,15,2.2,,0,,,0.0,0.3962,0.3962,FIFA model
Rodrygo,Brazil,Right Wing,24,86,0.694,1.0,1.4,1.2,2.04,0.1945,4.3,1.01,1.85,0.0,2,180,2,Low,C,CONMEBOL,6,16,1.57,1.245341896,7,0.2491,,0.0,0.3817,0.26804285714285714,WC2022 actual + FIFA model
Raúl Jiménez,Mexico,Center Forward,33,83,0.7,0.78,1.39,0.35,1.8,0.3697,3.1,1.0,1.83,2.0,0,156,2,Low,A,CONCACAF,14,17,2.7,0.105323937,2,0.0211,0.40558810274898605,2219.0,0.3003,0.34359314529129065,club season + FIFA model
Elijah Just,New Zealand,Center Forward,24,77,0.662,1.0,1.36,0.32,1.57,0.4143,2.3,0.98,1.8,3.0,0,180,2,Low,G,OFC,85,18,2.33,,0,,,0.0,0.3641,0.3641,FIFA model
Marcel Sabitzer,Austria,Attacking Midfield,30,82,0.658,0.93,1.33,0.69,0.98,0.1102,2.6,0.96,1.76,1.0,0,180,1,Low,J,UEFA,24,19,0.54,,0,,0.33582089552238803,5628.0,0.3366,0.336015671641791,club season + FIFA model
Kai Havertz,Germany,Attacking Midfield,32,88,0.716,0.87,1.24,1.06,2.48,0.2807,4.0,0.89,1.64,2.0,0,180,2,Low,E,UEFA,10,20,2.65,1.155300964,5,0.2311,,0.0,0.3426,0.24702857142857143,WC2022 actual + FIFA model
Mohamed Salah,Egypt,Right Wing,33,90,0.737,0.78,1.18,0.42,1.15,0.253,2.3,0.85,1.56,1.0,0,180,2,Low,G,CAF,29,21,1.36,,0,,,0.0,0.3162,0.3162,FIFA model
Yasin Ayari,Sweden,Central Midfield,22,81,0.667,0.93,1.17,0.66,1.59,0.227,2.8,0.84,1.54,2.0,0,135,2,Low,F,UEFA,38,22,1.75,,0,,0.19261637239165327,1869.0,0.3412,0.3258752312332199,club season + FIFA model
Folarin Balogun,USA,Center Forward,27,84,0.71,0.98,1.13,0.46,2.13,0.4273,3.2,0.81,1.49,2.0,0,163,2,Low,D,CONCACAF,17,23,3.11,,0,,0.1511969760604788,2381.0,0.3827,0.26881070541163266,club season + FIFA model
Luka Modrić,Croatia,Central Midfield,40,85,0.663,0.42,1.09,0.46,0.55,0.0301,3.0,0.78,1.44,0.0,1,180,1,Low,L,UEFA,11,24,0.17,1.12735736,7,0.2255,0.35064935064935066,5390.0,0.1532,0.2558148051948052,WC2022 actual + club season + FIFA model
Hakim Ziyech,Morocco,Right Wing,32,84,0.691,0.87,1.09,0.93,1.51,0.166,3.5,0.78,1.44,0.0,2,180,2,Low,C,CAF,7,25,1.08,1.095816526,11,0.2192,,0.0,0.3306,0.2351142857142857,WC2022 actual + FIFA model
Sadio Mané,Senegal,Left Wing,34,87,0.7,0.78,1.04,0.46,1.25,0.2364,2.7,0.75,1.37,1.0,0,180,2,Low,I,CAF,15,26,1.47,,0,,0.13479780329505742,2003.0,0.3003,0.2584607149052262,club season + FIFA model
Christian Pulisic,USA,Attacking Midfield,26,85,0.69,0.98,1.0,1.17,1.97,0.2017,3.2,0.72,1.32,1.0,2,145,2,Low,D,CONCACAF,17,27,1.49,1.138087093,9,0.2276,,0.0,0.3719,0.2482142857142857,WC2022 actual + FIFA model
Johan Manzambi,DR Congo,Central Midfield,20,80,0.663,0.82,0.99,0.41,1.14,0.2187,2.0,0.71,1.31,3.0,0,164,2,Low,K,CAF,46,28,1.38,,0,,,0.0,0.299,0.299,FIFA model
Enner Valencia,Ecuador,Center Forward,35,80,0.676,0.66,0.97,0.22,1.17,0.3312,2.4,0.7,1.28,1.0,0,180,1,Low,E,CONMEBOL,23,29,1.75,1.924592276,9,0.3849,0.0,7223.0,0.2454,0.25548000000000004,WC2022 actual + club season + FIFA model
Bruno Fernandes,Portugal,Attacking Midfield,30,87,0.696,0.93,0.87,1.28,1.78,0.1222,4.1,0.63,1.15,1.0,1,180,1,Low,K,UEFA,5,30,0.93,1.0313368613,8,0.2063,0.0410958904109589,10950.0,0.356,0.17170876712328767,WC2022 actual + club season + FIFA model
Eldor Shomurodov,Uzbekistan,Center Forward,27,79,0.662,0.98,0.87,0.25,0.73,0.2492,1.9,0.63,1.15,1.0,0,90,1,Low,K,AFC,50,31,0.88,,0,,,0.0,0.3568,0.3568,FIFA model
Salem Al-Dawsari,Saudi Arabia,Left Wing,33,79,0.661,0.78,0.85,0.45,0.73,0.1424,2.0,0.61,1.12,0.0,1,135,2,Low,H,AFC,61,32,0.52,,0,,,0.0,0.2836,0.2836,FIFA model
Jordan Ayew,Ghana,Center Forward,33,76,0.635,0.78,0.83,0.21,0.59,0.1901,2.0,0.6,1.1,0.0,0,90,1,Low,L,CAF,73,33,0.71,0.07146578,1,0.0143,0.3532490187527257,4586.0,0.2724,0.33303676406454424,club season + FIFA model
Bukayo Saka,England,Right Wing,23,89,0.693,1.0,0.83,1.19,2.53,0.2829,4.2,0.6,1.1,1.0,2,162,2,Low,L,UEFA,4,34,2.5,0.579455465,7,0.1159,0.2669491525423729,2360.0,0.3812,0.16711166500498503,WC2022 actual + club season + FIFA model
Takumi Minamino,Japan,Left Wing,29,82,0.678,0.93,0.71,0.5,1.29,0.254,2.5,0.51,0.94,2.0,0,164,2,Low,F,AFC,18,35,1.45,0.8339613109999999,3,0.1668,,0.0,0.3468,0.1925142857142857,WC2022 actual + FIFA model
Cody Gakpo,Netherlands,Left Wing,25,87,0.703,1.0,0.69,0.87,2.11,0.2798,3.9,0.5,0.91,2.0,0,145,2,Low,F,UEFA,8,36,2.31,0.5623670310000001,5,0.1125,,0.0,0.3866,0.15165714285714288,WC2022 actual + FIFA model
Antoine Griezmann,France,Second Striker,35,89,0.719,0.66,0.66,0.79,2.11,0.2482,4.7,0.48,0.87,1.0,1,170,2,Low,I,UEFA,3,37,2.46,0.49632007100000003,6,0.0993,,0.0,0.261,0.1224,WC2022 actual + FIFA model
Andrew Robertson,Scotland,Left Back,31,83,0.569,0.87,0.63,0.31,0.35,0.0178,2.4,0.45,0.83,0.0,0,180,2,Low,C,UEFA,42,38,0.07,,0,,0.13133208255159476,4797.0,0.2723,0.16657406191369606,club season + FIFA model
Percy Tau,South Africa,Left Wing,30,77,0.653,0.93,0.59,0.33,0.61,0.1677,1.7,0.42,0.78,0.0,0,45,1,Low,A,CAF,60,39,0.54,,0,,,0.0,0.334,0.334,FIFA model
Vinicius Jr,Brazil,Left Wing,24,93,0.734,1.0,0.53,1.11,3.07,0.3857,4.3,0.38,0.7,4.0,1,180,2,Low,C,CONMEBOL,6,40,3.65,,0,,0.0,11400.0,0.4037,0.100925,club season + FIFA model
Son Heung-min,South Korea,Left Wing,34,89,0.712,0.78,0.51,0.63,1.49,0.2449,2.9,0.37,0.67,2.0,1,180,2,Low,A,AFC,25,41,1.6,0.453828075,9,0.0908,,0.0,0.3054,0.12145714285714286,WC2022 actual + FIFA model
Ousmane Dembélé,France,Right Wing,28,88,0.714,0.98,0.51,1.15,2.09,0.2019,4.7,0.37,0.67,3.0,1,162,2,Low,I,UEFA,3,42,1.77,0.362467341,8,0.0725,0.047399605003291635,7595.0,0.3848,0.09619988150098749,WC2022 actual + club season + FIFA model
Granit Xhaka,Switzerland,Defensive Midfield,32,82,0.62,0.87,0.5,0.6,0.69,0.0324,2.9,0.36,0.66,1.0,2,180,2,Low,B,UEFA,19,43,0.17,0.295522079,6,0.0591,0.182229633158647,8396.0,0.2967,0.11979888994759409,WC2022 actual + club season + FIFA model
Rafael Leão,Portugal,Left Wing,25,88,0.708,1.0,0.48,0.9,2.55,0.364,4.1,0.35,0.63,1.0,0,163,1,Low,K,UEFA,5,44,3.06,0.248383942,5,0.0497,,0.0,0.3894,0.09822857142857143,WC2022 actual + FIFA model
Garry Rodrigues,Cabo Verde,Right Wing,33,76,0.642,0.78,0.44,0.27,0.5,0.1381,1.7,0.32,0.58,0.0,0,90,1,Low,H,CAF,67,45,0.43,0.46720207,3,0.0934,0.7157806613645877,2389.0,0.2754,0.19274896837413705,WC2022 actual + club season + FIFA model
Jonathan David,Canada,Center Forward,26,88,0.736,0.98,0.4,0.47,2.6,0.5255,3.2,0.29,0.53,3.0,0,170,2,Low,B,CONCACAF,30,46,3.97,0.11914880800000001,4,0.0238,0.1711677443895017,2629.0,0.3967,0.09258263274983036,WC2022 actual + club season + FIFA model
Cyle Larin,Canada,Center Forward,29,82,0.687,0.93,0.38,0.54,2.14,0.4052,3.2,0.27,0.5,2.0,1,153,2,Low,B,CONCACAF,30,47,2.98,0.249796684,3,0.05,,0.0,0.3514,0.09305714285714285,WC2022 actual + FIFA model
Almoez Ali,Qatar,Center Forward,28,77,0.655,0.98,0.36,0.21,0.61,0.2463,1.6,0.26,0.48,1.0,0,0,0,Low,B,AFC,56,48,0.73,0.10154356,1,0.0203,0.09164969450101833,1964.0,0.353,0.296898625521161,club season + FIFA model
Darwin Núñez,Uruguay,Center Forward,25,84,0.691,1.0,0.35,0.43,1.61,0.3452,3.0,0.25,0.46,2.0,0,164,2,Low,H,CONMEBOL,16,49,2.22,0.21691335099999998,3,0.0434,0.07174172977281786,5018.0,0.38,0.08556251893184537,WC2022 actual + club season + FIFA model
Kevin De Bruyne,Belgium,Central Midfield,33,91,0.695,0.78,0.35,0.94,1.23,0.0758,3.8,0.25,0.46,1.0,1,180,2,Low,G,UEFA,9,50,0.54,0.1779663248,7,0.0356,,0.0,0.2982,0.07311428571428571,WC2022 actual + FIFA model
