match_id,date,kickoff_time_utc,stage_name,stadium_name,city,country,home_team_name,home_fifa_code,away_team_name,away_fifa_code,home_score,away_score,status,home_xg_x,away_xg_x,home_goalkeeper,away_goalkeeper,player_of_the_match_name,referee_name,referee_id_x,referee_name_full,referee_country,avg_cards_per_game,home_xg_y,away_xg_y,referee_id_y,player_of_the_match_id,capacity,latitude,longitude,elevation_meters,total_goals,is_completed
29,2026-06-19,15:00,Group Stage,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,Brazil,BRA,Haiti,HAI,3.0,0.0,Completed,1.16,0.9,Ramsés Alisson,Johny Placide,Matheus Matheus Cunha,Ma Ning,13,Ma Ning,China,5.5,1.16,0.9,13,217.0,82500,40.8136,-74.0744,7,3.0,1
30,2026-06-19,18:00,Group Stage,Dallas Stadium (AT&T Stadium),Arlington,USA,Scotland,SCO,Morocco,MAR,0.0,1.0,Completed,0.97,0.54,Angus Fraser James Gunn,Yassine Bounou,Ismael Saibari,Alireza Faghani,14,Alireza Faghani,Australia,4.2,0.97,0.54,14,245.0,80000,32.7473,-97.0928,184,1.0,1
31,2026-06-19,21:00,Group Stage,Toronto Stadium (BMO Field),Toronto,CAN,USA,USA,Australia,AUS,2.0,0.0,Completed,1.21,0.32,Matthew Charles Turner,Mathew David Ryan,Folarin Jolaoluwa Balogun,Yoshimi Yamashita,15,Yoshimi Yamashita,Japan,3.4,1.21,0.32,15,332.0,30000,43.6328,-79.4186,76,2.0,1
32,2026-06-19,23:59,Group Stage,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,Türkiye,TUR,Paraguay,PAR,0.0,1.0,Completed,0.4,0.3,Fehmi Mert Gunok,Roberto Junior Fernandez,Matias Galarza,Facundo Tello,16,Facundo Tello,Argentina,5.0,0.4,0.3,16,361.0,53500,25.669,-100.2444,538,1.0,1
33,2026-06-20,15:00,Group Stage,Boston Stadium (Gillette Stadium),Foxborough,USA,Germany,GER,Côte d'Ivoire,CIV,2.0,1.0,Completed,1.85,0.72,Manuel Peter Neuer,Yahia Fofana,Deniz Undav,Szymon Marciniak,1,Szymon Marciniak,Poland,4.2,1.85,0.72,1,442.0,65878,42.0909,-71.2643,87,3.0,1
34,2026-06-20,18:00,Group Stage,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,Ecuador,ECU,Curaçao,CUW,0.0,0.0,Completed,1.92,0.08,Hernán Ismael Galindez,Eloy Victor Room,Eloy Victor Room,Daniele Orsato,2,Daniele Orsato,Italy,4.8,1.92,0.08,2,443.0,76416,39.0489,-94.4839,264,0.0,1
35,2026-06-20,21:00,Group Stage,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,Netherlands,NED,Sweden,SWE,5.0,1.0,Completed,3.45,0.88,Bart Verbruggen,Jacob Mikael Widell Zetterstrom,Cody Mathès Gakpo,Michael Oliver,3,Michael Oliver,England,3.9,3.45,0.88,3,531.0,69796,39.9008,-75.1675,3,6.0,1
36,2026-06-20,23:59,Group Stage,Seattle Stadium (Lumen Field),Seattle,USA,Tunisia,TUN,Japan,JPN,0.0,4.0,Completed,0.35,3.12,Aymen Dahmen,Zion Suzuki,Ayase Ueda,Anthony Taylor,4,Anthony Taylor,England,4.1,0.35,3.12,4,564.0,69000,47.5952,-122.3316,3,4.0,1
37,2026-06-21,15:00,Group Stage,Houston Stadium (NRG Stadium),Houston,USA,Belgium,BEL,IR Iran,IRN,0.0,0.0,Completed,1.45,0.62,Thibaut Nicolas Courtois,Ali Reza Beiranvand,Ali Reza Beiranvand,Clément Turpin,5,Clément Turpin,France,3.6,1.45,0.62,5,677.0,72220,29.6847,-95.4082,14,0.0,1
38,2026-06-21,18:00,Group Stage,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,New Zealand,NZL,Egypt,EGY,1.0,3.0,Completed,0.55,2.15,Maxime Teremoana Crocombe,Elsayed Mohamed Mohamed Elshenawy,Hamed Mahrous Mohamed Salah,Danny Makkelie,6,Danny Makkelie,Netherlands,3.8,0.55,2.15,6,660.0,64767,25.9581,-80.2389,2,4.0,1
39,2026-06-21,21:00,Group Stage,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,Spain,ESP,Saudi Arabia,KSA,4.0,0.0,Completed,3.28,0.25,Unai Simon,Khalil Mohammed Alowais,Mikel Oyarzabal,Jesús Valenzuela,7,Jesús Valenzuela,Venezuela,4.9,3.28,0.25,7,749.0,68500,37.4033,-121.9698,8,4.0,1
40,2026-06-21,23:59,Group Stage,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,Uruguay,URU,Cabo Verde,CPV,2.0,2.0,Completed,1.65,1.1,Sergio Ramón Rochet,José Vozinha,José Vozinha,Wilton Sampaio,8,Wilton Sampaio,Brazil,4.5,1.65,1.1,8,755.0,82500,40.8136,-74.0744,7,4.0,1
41,2026-06-22,15:00,Group Stage,Dallas Stadium (AT&T Stadium),Arlington,USA,France,FRA,Iraq,IRQ,3.0,0.0,Completed,2.21,0.45,Mike Peterson Maignan,Talib Raheem Fahad Talib,Kylian Mbappe,César Arturo Ramos,9,César Arturo Ramos,Mexico,4.0,2.21,0.45,9,842.0,80000,32.7473,-97.0928,184,3.0,1
42,2026-06-22,18:00,Group Stage,Toronto Stadium (BMO Field),Toronto,CAN,Norway,NOR,Senegal,SEN,3.0,2.0,Completed,1.95,1.48,Ørjan Haskjold Nyland,Edouard Osoque Mendy,Erling Braut Haaland,Ivan Barton,10,Ivan Barton,El Salvador,5.1,1.95,1.48,10,919.0,30000,43.6328,-79.4186,76,5.0,1
43,2026-06-22,21:00,Group Stage,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,Argentina,ARG,Austria,AUT,2.0,0.0,Completed,1.78,0.55,Damián Emiliano Martinez,Alexander Schlager,Lionel Andrés Messi,Mustapha Ghorbal,11,Mustapha Ghorbal,Algeria,3.7,1.78,0.55,11,946.0,53500,25.669,-100.2444,538,2.0,1
44,2026-06-22,23:59,Group Stage,Boston Stadium (Gillette Stadium),Foxborough,USA,Jordan,JOR,Algeria,ALG,1.0,2.0,Completed,0.88,1.92,Mo'ien Hasan Yazeed Abulaila,Melvin Feycal Mastil,Ibrahim Maza,Victor Gomes,12,Victor Gomes,South Africa,4.3,0.88,1.92,12,984.0,65878,42.0909,-71.2643,87,3.0,1
45,2026-06-23,15:00,Group Stage,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,Portugal,POR,Uzbekistan,UZB,5.0,0.0,Completed,3.54,0.42,Diogo Diogo Costa,Sherzod Nasrullaev,Ronaldo Cristiano Ronaldo,Ma Ning,13,Ma Ning,China,5.5,3.54,0.42,13,1047.0,76416,39.0489,-94.4839,264,5.0,1
46,2026-06-23,18:00,Group Stage,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,Colombia,COL,Congo DR,COD,1.0,0.0,Completed,1.62,0.58,Camilo Andres Vargas,Lionel Nzau Mpasi,Daniel Munoz,Alireza Faghani,14,Alireza Faghani,Australia,4.2,1.62,0.58,14,1120.0,69796,39.9008,-75.1675,3,1.0,1
47,2026-06-23,21:00,Group Stage,Seattle Stadium (Lumen Field),Seattle,USA,England,ENG,Ghana,GHA,0.0,0.0,Completed,1.12,0.89,Jordan Lee Pickford,Lawrence Ati Zigi,Nico Oreilly,Yoshimi Yamashita,15,Yoshimi Yamashita,Japan,3.4,1.12,0.89,15,1147.0,69000,47.5952,-122.3316,3,0.0,1
48,2026-06-23,23:59,Group Stage,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,Panama,PAN,Croatia,CRO,0.0,1.0,Completed,0.42,1.48,Orlando Mosquera,Dominik Livakovic,Ante Budimir,Facundo Tello,16,Facundo Tello,Argentina,5.0,0.42,1.48,16,1181.0,80824,19.3031,-99.1506,2200,1.0,1
49,2026-06-24,18:00,Group Stage,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,Czechia,CZE,Mexico,MEX,0.0,3.0,Completed,1.1,1.27,Mat ě j Kovar,José Raúl Rangel,Mateo Chavez,Szymon Marciniak,1,Szymon Marciniak,Poland,4.2,1.1,1.27,1,20.0,80824,19.3031,-99.1506,2200,3.0,1
50,2026-06-24,18:00,Group Stage,Guadalajara Stadium (Estadio Akron),Zapopan,MEX,South Africa,RSA,South Korea,KOR,1.0,0.0,Completed,1.26,1.39,Ronwen Hayden Williams,Seunggyu Kim,Thapelo Maseko,Daniele Orsato,2,Daniele Orsato,Italy,4.8,1.26,1.39,2,38.0,48070,20.6811,-103.4628,1566,1.0,1
51,2026-06-24,22:00,Group Stage,Vancouver Stadium (BC Place),Vancouver,CAN,Switzerland,SUI,Canada,CAN,2.0,1.0,Completed,0.71,1.35,Gregor Kobel,Maxime Crepeau,Johan Kula Manzambi,Michael Oliver,3,Michael Oliver,England,3.9,0.71,1.35,3,191.0,54500,49.2768,-123.112,9,3.0,1
52,2026-06-24,22:00,Group Stage,Toronto Stadium (BMO Field),Toronto,CAN,Bosnia and Herzegovina,BIH,Qatar,QAT,3.0,1.0,Completed,1.48,0.95,Nikola Vasilj,Ibrahim Mahmoud Abunada,Kerim Alajbegovic,Anthony Taylor,4,Anthony Taylor,England,4.1,1.48,0.95,4,149.0,30000,43.6328,-79.4186,76,4.0,1
53,2026-06-25,18:00,Group Stage,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,Scotland,SCO,Brazil,BRA,0.0,3.0,Completed,0.45,2.18,Angus Fraser James Gunn,Ramsés Alisson,José Vinicius,Clément Turpin,5,Clément Turpin,France,3.6,0.45,2.18,5,215.0,82500,40.8136,-74.0744,7,3.0,1
54,2026-06-25,18:00,Group Stage,Boston Stadium (Gillette Stadium),Foxborough,USA,Morocco,MAR,Haiti,HAI,4.0,2.0,Completed,2.35,1.12,Yassine Bounou,Johny Placide,Achraf Hakimi,Danny Makkelie,6,Danny Makkelie,Netherlands,3.8,2.35,1.12,6,236.0,65878,42.0909,-71.2643,87,6.0,1
55,2026-06-25,22:00,Group Stage,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,Türkiye,TUR,USA,USA,3.0,2.0,Completed,1.62,1.45,Fehmi Mert Gunok,Matthew Charles Turner,Arda Guler,Jesús Valenzuela,7,Jesús Valenzuela,Venezuela,4.9,1.62,1.45,7,398.0,70240,33.9535,-118.339,30,5.0,1
56,2026-06-25,22:00,Group Stage,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,Paraguay,PAR,Australia,AUS,0.0,0.0,Completed,0.55,0.48,Roberto Junior Fernandez,Mathew David Ryan,Roberto Junior Fernandez,Wilton Sampaio,8,Wilton Sampaio,Brazil,4.5,0.55,0.48,8,339.0,68500,37.4033,-121.9698,8,0.0,1
57,2026-06-26,18:00,Group Stage,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,Ecuador,ECU,Germany,GER,2.0,1.0,Completed,1.28,1.55,Hernán Ismael Galindez,Manuel Peter Neuer,Nilson David Angulo,César Arturo Ramos,9,César Arturo Ramos,Mexico,4.0,1.28,1.55,9,514.0,71000,33.7553,-84.4017,318,3.0,1
58,2026-06-26,18:00,Group Stage,Houston Stadium (NRG Stadium),Houston,USA,Curaçao,CUW,Côte d'Ivoire,CIV,0.0,2.0,Completed,0.32,1.68,Eloy Victor Room,Yahia Fofana,Nicolas Pepe,Ivan Barton,10,Ivan Barton,El Salvador,5.1,0.32,1.68,10,487.0,72220,29.6847,-95.4082,14,2.0,1
59,2026-06-26,22:00,Group Stage,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,Tunisia,TUN,Netherlands,NED,1.0,3.0,Completed,0.62,2.15,Aymen Dahmen,Bart Verbruggen,Brian Ebenezer Adjei Brobbey,Mustapha Ghorbal,11,Mustapha Ghorbal,Algeria,3.7,0.62,2.15,11,539.0,76416,39.0489,-94.4839,264,4.0,1
60,2026-06-26,22:00,Group Stage,Seattle Stadium (Lumen Field),Seattle,USA,Japan,JPN,Sweden,SWE,1.0,1.0,Completed,1.12,0.95,Zion Suzuki,Jacob Mikael Widell Zetterstrom,Daizen Maeda,Victor Gomes,12,Victor Gomes,South Africa,4.3,1.12,0.95,12,557.0,69000,47.5952,-122.3316,3,2.0,1
61,2026-06-27,18:00,Group Stage,Dallas Stadium (AT&T Stadium),Arlington,USA,New Zealand,NZL,Belgium,BEL,1.0,5.0,Completed,0.48,3.25,Maxime Teremoana Crocombe,Thibaut Nicolas Courtois,Leandro Trossard,Ma Ning,13,Ma Ning,China,5.5,0.48,3.25,13,634.0,80000,32.7473,-97.0928,184,6.0,1
62,2026-06-27,18:00,Group Stage,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,Egypt,EGY,IR Iran,IRN,1.0,1.0,Completed,0.85,0.92,Elsayed Mohamed Mohamed Elshenawy,Ali Reza Beiranvand,Ramin Rezaeian,Alireza Faghani,14,Alireza Faghani,Australia,4.2,0.85,0.92,14,699.0,53500,25.669,-100.2444,538,2.0,1
63,2026-06-27,22:00,Group Stage,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,Uruguay,URU,Spain,ESP,0.0,1.0,Completed,0.78,1.35,Sergio Ramón Rochet,Unai Simon,Alejandro Baena,Yoshimi Yamashita,15,Yoshimi Yamashita,Japan,3.4,0.78,1.35,15,743.0,64767,25.9581,-80.2389,2,1.0,1
64,2026-06-27,22:00,Group Stage,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,Cabo Verde,CPV,Saudi Arabia,KSA,0.0,0.0,Completed,0.42,0.38,José Vozinha,Khalil Mohammed Alowais,José Vozinha,Facundo Tello,16,Facundo Tello,Argentina,5.0,0.42,0.38,16,755.0,69796,39.9008,-75.1675,3,0.0,1
65,2026-06-26,18:00,Group Stage,Boston Stadium (Gillette Stadium),Foxborough,USA,Norway,NOR,France,FRA,1.0,4.0,Completed,1.3,0.96,Ørjan Haskjold Nyland,Mike Peterson Maignan,Masour Ousmane Dembele,Szymon Marciniak,1,Szymon Marciniak,Poland,4.2,1.3,0.96,1,839.0,65878,42.0909,-71.2643,87,5.0,1
66,2026-06-26,18:00,Group Stage,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,Senegal,SEN,Iraq,IRQ,5.0,0.0,Completed,3.01,0.14,Edouard Osoque Mendy,Basil Fadhil Ahmed,Iliman Cheikh Baroy Ndiaye,Daniele Orsato,2,Daniele Orsato,Italy,4.8,3.01,0.14,2,871.0,82500,40.8136,-74.0744,7,5.0,1
67,2026-06-27,22:00,Group Stage,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,Jordan,JOR,Argentina,ARG,1.0,3.0,Completed,0.76,2.13,Mo'ien Hasan Yazeed Abulaila,Damián Emiliano Martinez,Lionel Andrés Messi,Michael Oliver,3,Michael Oliver,England,3.9,0.76,2.13,3,946.0,68500,37.4033,-121.9698,8,4.0,1
68,2026-06-27,22:00,Group Stage,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,Algeria,ALG,Austria,AUT,3.0,3.0,Completed,1.62,1.44,Melvin Feycal Mastil,Alexander Schlager,Riyad Karim Mahrez,Anthony Taylor,4,Anthony Taylor,England,4.1,1.62,1.44,4,969.0,70240,33.9535,-118.339,30,6.0,1
69,2026-06-28,18:00,Group Stage,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,Colombia,COL,Portugal,POR,0.0,0.0,Completed,1.62,0.73,Camilo Andres Vargas,Diogo Diogo Costa,Diogo Diogo Costa,Clément Turpin,5,Clément Turpin,France,3.6,1.62,0.73,5,1041.0,64767,25.9581,-80.2389,2,0.0,1
70,2026-06-28,18:00,Group Stage,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,Congo DR,COD,Uzbekistan,UZB,3.0,1.0,Completed,2.35,0.2,Lionel Nzau Mpasi,Abduvakhid Nematov,Yoane Wissa,Danny Makkelie,6,Danny Makkelie,Netherlands,3.8,2.35,0.2,6,1086.0,71000,33.7553,-84.4017,318,4.0,1
71,2026-06-28,22:00,Group Stage,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,Panama,PAN,England,ENG,0.0,2.0,Completed,0.69,1.39,Orlando Mosquera,Jordan Lee Pickford,Jude Victor William Bellingham,Jesús Valenzuela,7,Jesús Valenzuela,Venezuela,4.9,0.69,1.39,7,1154.0,82500,40.8136,-74.0744,7,2.0,1
72,2026-06-28,22:00,Group Stage,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,Croatia,CRO,Ghana,GHA,2.0,1.0,Completed,0.42,0.74,Dominik Livakovic,Benjamin Asare,Petar Sucic,Wilton Sampaio,8,Wilton Sampaio,Brazil,4.5,0.42,0.74,8,1187.0,69796,39.9008,-75.1675,3,3.0,1
