match_id,date,kickoff_time_utc,stage_name,stadium_name,city,country,home_team_name,home_fifa_code,away_team_name,away_fifa_code,home_score,away_score,status,home_xg,away_xg,home_goalkeeper,away_goalkeeper,player_of_the_match_name,referee_name,venue_id,referee_id,player_of_the_match_id,is_knockout,capacity,latitude,longitude,elevation_meters,ref_name,ref_country,avg_cards_per_game,potm_name,total_goals,total_xg,home_xg_over,away_xg_over
11,2026-06-14,21:00,Group Stage,Houston Stadium (NRG Stadium),Houston,USA,Côte d'Ivoire,CIV,Ecuador,ECU,1.0,0.0,Completed,1.1,0.95,Yahia Fofana,Hernán Ismael Galindez,Yan Diomande,Mustapha Ghorbal,11,11,479.0,False,72220,29.6847,-95.4082,14,Mustapha Ghorbal,Algeria,3.7,Yan Diomande,1.0,2.05,-0.1,-0.95
12,2026-06-14,23:59,Group Stage,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,Sweden,SWE,Tunisia,TUN,5.0,1.0,Completed,3.12,0.78,Jacob Mikael Widell Zetterstrom,Aymen Dahmen,Alexander Isak,Victor Gomes,12,12,581.0,False,76416,39.0489,-94.4839,264,Victor Gomes,South Africa,4.3,Alexander Isak,6.0,3.9000000000000004,1.88,0.22
13,2026-06-15,15:00,Group Stage,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,Spain,ESP,Cabo Verde,CPV,0.0,0.0,Completed,2.15,0.35,Unai Simon,José Vozinha,José Vozinha,Ma Ning,13,13,755.0,False,64767,25.9581,-80.2389,2,Ma Ning,China,5.5,José Vozinha,0.0,2.5,-2.15,-0.35
14,2026-06-15,18:00,Group Stage,Dallas Stadium (AT&T Stadium),Arlington,USA,Belgium,BEL,Egypt,EGY,1.0,1.0,Completed,1.58,1.12,Thibaut Nicolas Courtois,Elsayed Mohamed Mohamed Elshenawy,Ashour Metwaly Emam,Alireza Faghani,4,14,658.0,False,80000,32.7473,-97.0928,184,Alireza Faghani,Australia,4.2,Ashour Metwaly Emam,2.0,2.7,-0.58,-0.12
15,2026-06-15,21:00,Group Stage,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,Saudi Arabia,KSA,Uruguay,URU,1.0,1.0,Completed,0.85,1.76,Khalil Mohammed Alowais,Sergio Ramón Rochet,Khalil Mohammed Alowais,Yoshimi Yamashita,8,15,801.0,False,53500,25.669,-100.2444,538,Yoshimi Yamashita,Japan,3.4,Khalil Mohammed Alowais,2.0,2.61,0.15,-0.76
16,2026-06-15,23:59,Group Stage,Vancouver Stadium (BC Place),Vancouver,CAN,IR Iran,IRN,New Zealand,NZL,2.0,2.0,Completed,1.88,1.2,Ali Reza Beiranvand,Maxime Teremoana Crocombe,Ramin Rezaeian,Facundo Tello,5,16,699.0,False,54500,49.2768,-123.112,9,Facundo Tello,Argentina,5.0,Ramin Rezaeian,4.0,3.08,0.12,0.8
17,2026-06-16,15:00,Group Stage,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,France,FRA,Senegal,SEN,3.0,1.0,Completed,2.44,1.05,Mike Peterson Maignan,Edouard Osoque Mendy,Michael Akpovie Olise,Szymon Marciniak,2,1,843.0,False,82500,40.8136,-74.0744,7,Szymon Marciniak,Poland,4.2,Michael Akpovie Olise,4.0,3.49,0.56,-0.05
18,2026-06-16,18:00,Group Stage,Boston Stadium (Gillette Stadium),Foxborough,USA,Iraq,IRQ,Norway,NOR,1.0,4.0,Completed,0.68,2.85,Talib Raheem Fahad Talib,Ørjan Haskjold Nyland,Erling Braut Haaland,Daniele Orsato,10,2,919.0,False,65878,42.0909,-71.2643,87,Daniele Orsato,Italy,4.8,Erling Braut Haaland,5.0,3.5300000000000002,0.32,1.15
19,2026-06-16,21:00,Group Stage,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,Argentina,ARG,Algeria,ALG,3.0,0.0,Completed,2.65,0.42,Damián Emiliano Martinez,Melvin Feycal Mastil,Lionel Andrés Messi,Michael Oliver,3,3,946.0,False,70240,33.9535,-118.339,30,Michael Oliver,England,3.9,Lionel Andrés Messi,3.0,3.07,0.35,-0.42
20,2026-06-16,23:59,Group Stage,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,Austria,AUT,Jordan,JOR,3.0,1.0,Completed,1.98,0.88,Alexander Schlager,Mo'ien Hasan Yazeed Abulaila,Iyad Ali Ali Olwan,Anthony Taylor,15,4,1023.0,False,68500,37.4033,-121.9698,8,Anthony Taylor,England,4.1,Iyad Ali Ali Olwan,4.0,2.86,1.02,0.12
21,2026-06-17,15:00,Group Stage,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,Portugal,POR,Congo DR,COD,1.0,1.0,Completed,1.78,1.15,Diogo Diogo Costa,Lionel Nzau Mpasi,Pedro Joao Neves,Clément Turpin,9,5,1055.0,False,71000,33.7553,-84.4017,318,Clément Turpin,France,3.6,Pedro Joao Neves,2.0,2.9299999999999997,-0.78,-0.15
22,2026-06-17,18:00,Group Stage,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,England,ENG,Croatia,CRO,4.0,2.0,Completed,2.92,1.64,Jordan Lee Pickford,Dominik Livakovic,Harry Edward Kane,Danny Makkelie,13,6,1153.0,False,64767,25.9581,-80.2389,2,Danny Makkelie,Netherlands,3.8,Harry Edward Kane,6.0,4.56,1.08,0.36
23,2026-06-17,21:00,Group Stage,Houston Stadium (NRG Stadium),Houston,USA,Ghana,GHA,Panama,PAN,1.0,0.0,Completed,1.3,0.75,Lawrence Ati Zigi,Luis Ricardo Mejia,Antoine Serlom Semenyo,Jesús Valenzuela,11,7,1207.0,False,72220,29.6847,-95.4082,14,Jesús Valenzuela,Venezuela,4.9,Antoine Serlom Semenyo,1.0,2.05,-0.3,-0.75
24,2026-06-17,23:59,Group Stage,Seattle Stadium (Lumen Field),Seattle,USA,Uzbekistan,UZB,Colombia,COL,1.0,3.0,Completed,0.95,2.1,Utkir Yusupov,David Ospina,Luis Fernando Diaz,Wilton Sampaio,16,8,1125.0,False,69000,47.5952,-122.3316,3,Wilton Sampaio,Brazil,4.5,Luis Fernando Diaz,4.0,3.05,0.05,0.9
25,2026-06-18,15:00,Group Stage,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,Mexico,MEX,South Korea,KOR,1.0,0.0,Completed,1.62,0.58,Francisco Guillermo Ochoa,Seunggyu Kim,Luis Francisco Romo,César Arturo Ramos,9,9,7.0,False,71000,33.7553,-84.4017,318,César Arturo Ramos,Mexico,4.0,Luis Francisco Romo,1.0,2.2,-0.62,-0.58
26,2026-06-18,18:00,Group Stage,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,Czechia,CZE,South Africa,RSA,1.0,1.0,Completed,1.35,1.15,Mat ě j Kovar,Ronwen Hayden Williams,Michal Sadilek,Ivan Barton,3,10,96.0,False,70240,33.9535,-118.339,30,Ivan Barton,El Salvador,5.1,Michal Sadilek,2.0,2.5,-0.35,-0.15
27,2026-06-18,21:00,Group Stage,Vancouver Stadium (BC Place),Vancouver,CAN,Canada,CAN,Qatar,QAT,6.0,0.0,Completed,3.82,0.22,Maxime Crepeau,Ibrahim Mahmoud Abunada,Jonathan Christian David,Mustapha Ghorbal,5,11,114.0,False,54500,49.2768,-123.112,9,Mustapha Ghorbal,Algeria,3.7,Jonathan Christian David,6.0,4.04,2.18,-0.22
28,2026-06-18,23:59,Group Stage,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,Switzerland,SUI,Bosnia and Herzegovina,BIH,4.0,1.0,Completed,2.45,0.88,Gregor Kobel,Nikola Vasilj,Johan Kula Manzambi,Victor Gomes,1,12,191.0,False,80824,19.3031,-99.1506,2200,Victor Gomes,South Africa,4.3,Johan Kula Manzambi,5.0,3.33,1.55,0.12
29,2026-06-19,15:00,Group Stage,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,Brazil,BRA,Haiti,HAI,3.0,0.0,Completed,1.16,0.9,Ramsés Alisson,Johny Placide,Matheus Matheus Cunha,Ma Ning,2,13,217.0,False,82500,40.8136,-74.0744,7,Ma Ning,China,5.5,Matheus Matheus Cunha,3.0,2.06,1.84,-0.9
30,2026-06-19,18:00,Group Stage,Dallas Stadium (AT&T Stadium),Arlington,USA,Scotland,SCO,Morocco,MAR,0.0,1.0,Completed,0.97,0.54,Angus Fraser James Gunn,Yassine Bounou,Ismael Saibari,Alireza Faghani,4,14,245.0,False,80000,32.7473,-97.0928,184,Alireza Faghani,Australia,4.2,Ismael Saibari,1.0,1.51,-0.97,0.46
31,2026-06-19,21:00,Group Stage,Toronto Stadium (BMO Field),Toronto,CAN,USA,USA,Australia,AUS,2.0,0.0,Completed,1.21,0.32,Matthew Charles Turner,Mathew David Ryan,Folarin Jolaoluwa Balogun,Yoshimi Yamashita,6,15,332.0,False,30000,43.6328,-79.4186,76,Yoshimi Yamashita,Japan,3.4,Folarin Jolaoluwa Balogun,2.0,1.53,0.79,-0.32
32,2026-06-19,23:59,Group Stage,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,Türkiye,TUR,Paraguay,PAR,0.0,1.0,Completed,0.4,0.3,Fehmi Mert Gunok,Roberto Junior Fernandez,Matias Galarza,Facundo Tello,8,16,361.0,False,53500,25.669,-100.2444,538,Facundo Tello,Argentina,5.0,Matias Galarza,1.0,0.7,-0.4,0.7
33,2026-06-20,15:00,Group Stage,Boston Stadium (Gillette Stadium),Foxborough,USA,Germany,GER,Côte d'Ivoire,CIV,2.0,1.0,Completed,1.85,0.72,Manuel Peter Neuer,Yahia Fofana,Deniz Undav,Szymon Marciniak,10,1,442.0,False,65878,42.0909,-71.2643,87,Szymon Marciniak,Poland,4.2,Deniz Undav,3.0,2.5700000000000003,0.15,0.28
34,2026-06-20,18:00,Group Stage,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,Ecuador,ECU,Curaçao,CUW,0.0,0.0,Completed,1.92,0.08,Hernán Ismael Galindez,Eloy Victor Room,Eloy Victor Room,Daniele Orsato,12,2,443.0,False,76416,39.0489,-94.4839,264,Daniele Orsato,Italy,4.8,Eloy Victor Room,0.0,2.0,-1.92,-0.08
35,2026-06-20,21:00,Group Stage,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,Netherlands,NED,Sweden,SWE,5.0,1.0,Completed,3.45,0.88,Bart Verbruggen,Jacob Mikael Widell Zetterstrom,Cody Mathès Gakpo,Michael Oliver,14,3,531.0,False,69796,39.9008,-75.1675,3,Michael Oliver,England,3.9,Cody Mathès Gakpo,6.0,4.33,1.55,0.12
36,2026-06-20,23:59,Group Stage,Seattle Stadium (Lumen Field),Seattle,USA,Tunisia,TUN,Japan,JPN,0.0,4.0,Completed,0.35,3.12,Aymen Dahmen,Zion Suzuki,Ayase Ueda,Anthony Taylor,16,4,564.0,False,69000,47.5952,-122.3316,3,Anthony Taylor,England,4.1,Ayase Ueda,4.0,3.47,-0.35,0.88
37,2026-06-21,15:00,Group Stage,Houston Stadium (NRG Stadium),Houston,USA,Belgium,BEL,IR Iran,IRN,0.0,0.0,Completed,1.45,0.62,Thibaut Nicolas Courtois,Ali Reza Beiranvand,Ali Reza Beiranvand,Clément Turpin,11,5,677.0,False,72220,29.6847,-95.4082,14,Clément Turpin,France,3.6,Ali Reza Beiranvand,0.0,2.07,-1.45,-0.62
38,2026-06-21,18:00,Group Stage,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,New Zealand,NZL,Egypt,EGY,1.0,3.0,Completed,0.55,2.15,Maxime Teremoana Crocombe,Elsayed Mohamed Mohamed Elshenawy,Hamed Mahrous Mohamed Salah,Danny Makkelie,13,6,660.0,False,64767,25.9581,-80.2389,2,Danny Makkelie,Netherlands,3.8,Hamed Mahrous Mohamed Salah,4.0,2.7,0.45,0.85
39,2026-06-21,21:00,Group Stage,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,Spain,ESP,Saudi Arabia,KSA,4.0,0.0,Completed,3.28,0.25,Unai Simon,Khalil Mohammed Alowais,Mikel Oyarzabal,Jesús Valenzuela,15,7,749.0,False,68500,37.4033,-121.9698,8,Jesús Valenzuela,Venezuela,4.9,Mikel Oyarzabal,4.0,3.53,0.72,-0.25
40,2026-06-21,23:59,Group Stage,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,Uruguay,URU,Cabo Verde,CPV,2.0,2.0,Completed,1.65,1.1,Sergio Ramón Rochet,José Vozinha,José Vozinha,Wilton Sampaio,2,8,755.0,False,82500,40.8136,-74.0744,7,Wilton Sampaio,Brazil,4.5,José Vozinha,4.0,2.75,0.35,0.9
41,2026-06-22,15:00,Group Stage,Dallas Stadium (AT&T Stadium),Arlington,USA,France,FRA,Iraq,IRQ,3.0,0.0,Completed,2.21,0.45,Mike Peterson Maignan,Talib Raheem Fahad Talib,Kylian Mbappe,César Arturo Ramos,4,9,842.0,False,80000,32.7473,-97.0928,184,César Arturo Ramos,Mexico,4.0,Kylian Mbappe,3.0,2.66,0.79,-0.45
42,2026-06-22,18:00,Group Stage,Toronto Stadium (BMO Field),Toronto,CAN,Norway,NOR,Senegal,SEN,3.0,2.0,Completed,1.95,1.48,Ørjan Haskjold Nyland,Edouard Osoque Mendy,Erling Braut Haaland,Ivan Barton,6,10,919.0,False,30000,43.6328,-79.4186,76,Ivan Barton,El Salvador,5.1,Erling Braut Haaland,5.0,3.4299999999999997,1.05,0.52
43,2026-06-22,21:00,Group Stage,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,Argentina,ARG,Austria,AUT,2.0,0.0,Completed,1.78,0.55,Damián Emiliano Martinez,Alexander Schlager,Lionel Andrés Messi,Mustapha Ghorbal,8,11,946.0,False,53500,25.669,-100.2444,538,Mustapha Ghorbal,Algeria,3.7,Lionel Andrés Messi,2.0,2.33,0.22,-0.55
44,2026-06-22,23:59,Group Stage,Boston Stadium (Gillette Stadium),Foxborough,USA,Jordan,JOR,Algeria,ALG,1.0,2.0,Completed,0.88,1.92,Mo'ien Hasan Yazeed Abulaila,Melvin Feycal Mastil,Ibrahim Maza,Victor Gomes,10,12,984.0,False,65878,42.0909,-71.2643,87,Victor Gomes,South Africa,4.3,Ibrahim Maza,3.0,2.8,0.12,0.08
45,2026-06-23,15:00,Group Stage,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,Portugal,POR,Uzbekistan,UZB,5.0,0.0,Completed,3.54,0.42,Diogo Diogo Costa,Sherzod Nasrullaev,Ronaldo Cristiano Ronaldo,Ma Ning,12,13,1047.0,False,76416,39.0489,-94.4839,264,Ma Ning,China,5.5,Ronaldo Cristiano Ronaldo,5.0,3.96,1.46,-0.42
46,2026-06-23,18:00,Group Stage,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,Colombia,COL,Congo DR,COD,1.0,0.0,Completed,1.62,0.58,Camilo Andres Vargas,Lionel Nzau Mpasi,Daniel Munoz,Alireza Faghani,14,14,1120.0,False,69796,39.9008,-75.1675,3,Alireza Faghani,Australia,4.2,Daniel Munoz,1.0,2.2,-0.62,-0.58
47,2026-06-23,21:00,Group Stage,Seattle Stadium (Lumen Field),Seattle,USA,England,ENG,Ghana,GHA,0.0,0.0,Completed,1.12,0.89,Jordan Lee Pickford,Lawrence Ati Zigi,Nico Oreilly,Yoshimi Yamashita,16,15,1147.0,False,69000,47.5952,-122.3316,3,Yoshimi Yamashita,Japan,3.4,Nico Oreilly,0.0,2.0100000000000002,-1.12,-0.89
48,2026-06-23,23:59,Group Stage,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,Panama,PAN,Croatia,CRO,0.0,1.0,Completed,0.42,1.48,Orlando Mosquera,Dominik Livakovic,Ante Budimir,Facundo Tello,1,16,1181.0,False,80824,19.3031,-99.1506,2200,Facundo Tello,Argentina,5.0,Ante Budimir,1.0,1.9,-0.42,-0.48
49,2026-06-24,18:00,Group Stage,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,Czechia,CZE,Mexico,MEX,0.0,3.0,Completed,1.1,1.27,Mat ě j Kovar,José Raúl Rangel,Mateo Chavez,Szymon Marciniak,1,1,20.0,False,80824,19.3031,-99.1506,2200,Szymon Marciniak,Poland,4.2,Mateo Chavez,3.0,2.37,-1.1,1.73
50,2026-06-24,18:00,Group Stage,Guadalajara Stadium (Estadio Akron),Zapopan,MEX,South Africa,RSA,South Korea,KOR,1.0,0.0,Completed,1.26,1.39,Ronwen Hayden Williams,Seunggyu Kim,Thapelo Maseko,Daniele Orsato,7,2,38.0,False,48070,20.6811,-103.4628,1566,Daniele Orsato,Italy,4.8,Thapelo Maseko,1.0,2.65,-0.26,-1.39
51,2026-06-24,22:00,Group Stage,Vancouver Stadium (BC Place),Vancouver,CAN,Switzerland,SUI,Canada,CAN,2.0,1.0,Completed,0.71,1.35,Gregor Kobel,Maxime Crepeau,Johan Kula Manzambi,Michael Oliver,5,3,191.0,False,54500,49.2768,-123.112,9,Michael Oliver,England,3.9,Johan Kula Manzambi,3.0,2.06,1.29,-0.35
52,2026-06-24,22:00,Group Stage,Toronto Stadium (BMO Field),Toronto,CAN,Bosnia and Herzegovina,BIH,Qatar,QAT,3.0,1.0,Completed,1.48,0.95,Nikola Vasilj,Ibrahim Mahmoud Abunada,Kerim Alajbegovic,Anthony Taylor,6,4,149.0,False,30000,43.6328,-79.4186,76,Anthony Taylor,England,4.1,Kerim Alajbegovic,4.0,2.4299999999999997,1.52,0.05
53,2026-06-25,18:00,Group Stage,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,Scotland,SCO,Brazil,BRA,0.0,3.0,Completed,0.45,2.18,Angus Fraser James Gunn,Ramsés Alisson,José Vinicius,Clément Turpin,2,5,215.0,False,82500,40.8136,-74.0744,7,Clément Turpin,France,3.6,José Vinicius,3.0,2.6300000000000003,-0.45,0.82
54,2026-06-25,18:00,Group Stage,Boston Stadium (Gillette Stadium),Foxborough,USA,Morocco,MAR,Haiti,HAI,4.0,2.0,Completed,2.35,1.12,Yassine Bounou,Johny Placide,Achraf Hakimi,Danny Makkelie,10,6,236.0,False,65878,42.0909,-71.2643,87,Danny Makkelie,Netherlands,3.8,Achraf Hakimi,6.0,3.47,1.65,0.88
55,2026-06-25,22:00,Group Stage,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,Türkiye,TUR,USA,USA,3.0,2.0,Completed,1.62,1.45,Fehmi Mert Gunok,Matthew Charles Turner,Arda Guler,Jesús Valenzuela,3,7,398.0,False,70240,33.9535,-118.339,30,Jesús Valenzuela,Venezuela,4.9,Arda Guler,5.0,3.0700000000000003,1.38,0.55
56,2026-06-25,22:00,Group Stage,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,Paraguay,PAR,Australia,AUS,0.0,0.0,Completed,0.55,0.48,Roberto Junior Fernandez,Mathew David Ryan,Roberto Junior Fernandez,Wilton Sampaio,15,8,339.0,False,68500,37.4033,-121.9698,8,Wilton Sampaio,Brazil,4.5,Roberto Junior Fernandez,0.0,1.03,-0.55,-0.48
57,2026-06-26,18:00,Group Stage,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,Ecuador,ECU,Germany,GER,2.0,1.0,Completed,1.28,1.55,Hernán Ismael Galindez,Manuel Peter Neuer,Nilson David Angulo,César Arturo Ramos,9,9,514.0,False,71000,33.7553,-84.4017,318,César Arturo Ramos,Mexico,4.0,Nilson David Angulo,3.0,2.83,0.72,-0.55
58,2026-06-26,18:00,Group Stage,Houston Stadium (NRG Stadium),Houston,USA,Curaçao,CUW,Côte d'Ivoire,CIV,0.0,2.0,Completed,0.32,1.68,Eloy Victor Room,Yahia Fofana,Nicolas Pepe,Ivan Barton,11,10,487.0,False,72220,29.6847,-95.4082,14,Ivan Barton,El Salvador,5.1,Nicolas Pepe,2.0,2.0,-0.32,0.32
59,2026-06-26,22:00,Group Stage,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,Tunisia,TUN,Netherlands,NED,1.0,3.0,Completed,0.62,2.15,Aymen Dahmen,Bart Verbruggen,Brian Ebenezer Adjei Brobbey,Mustapha Ghorbal,12,11,539.0,False,76416,39.0489,-94.4839,264,Mustapha Ghorbal,Algeria,3.7,Brian Ebenezer Adjei Brobbey,4.0,2.77,0.38,0.85
60,2026-06-26,22:00,Group Stage,Seattle Stadium (Lumen Field),Seattle,USA,Japan,JPN,Sweden,SWE,1.0,1.0,Completed,1.12,0.95,Zion Suzuki,Jacob Mikael Widell Zetterstrom,Daizen Maeda,Victor Gomes,16,12,557.0,False,69000,47.5952,-122.3316,3,Victor Gomes,South Africa,4.3,Daizen Maeda,2.0,2.0700000000000003,-0.12,0.05
61,2026-06-27,18:00,Group Stage,Dallas Stadium (AT&T Stadium),Arlington,USA,New Zealand,NZL,Belgium,BEL,1.0,5.0,Completed,0.48,3.25,Maxime Teremoana Crocombe,Thibaut Nicolas Courtois,Leandro Trossard,Ma Ning,4,13,634.0,False,80000,32.7473,-97.0928,184,Ma Ning,China,5.5,Leandro Trossard,6.0,3.73,0.52,1.75
62,2026-06-27,18:00,Group Stage,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,Egypt,EGY,IR Iran,IRN,1.0,1.0,Completed,0.85,0.92,Elsayed Mohamed Mohamed Elshenawy,Ali Reza Beiranvand,Ramin Rezaeian,Alireza Faghani,8,14,699.0,False,53500,25.669,-100.2444,538,Alireza Faghani,Australia,4.2,Ramin Rezaeian,2.0,1.77,0.15,0.08
63,2026-06-27,22:00,Group Stage,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,Uruguay,URU,Spain,ESP,0.0,1.0,Completed,0.78,1.35,Sergio Ramón Rochet,Unai Simon,Alejandro Baena,Yoshimi Yamashita,13,15,743.0,False,64767,25.9581,-80.2389,2,Yoshimi Yamashita,Japan,3.4,Alejandro Baena,1.0,2.13,-0.78,-0.35
64,2026-06-27,22:00,Group Stage,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,Cabo Verde,CPV,Saudi Arabia,KSA,0.0,0.0,Completed,0.42,0.38,José Vozinha,Khalil Mohammed Alowais,José Vozinha,Facundo Tello,14,16,755.0,False,69796,39.9008,-75.1675,3,Facundo Tello,Argentina,5.0,José Vozinha,0.0,0.8,-0.42,-0.38
65,2026-06-26,18:00,Group Stage,Boston Stadium (Gillette Stadium),Foxborough,USA,Norway,NOR,France,FRA,1.0,4.0,Completed,1.3,0.96,Ørjan Haskjold Nyland,Mike Peterson Maignan,Masour Ousmane Dembele,Szymon Marciniak,10,1,839.0,False,65878,42.0909,-71.2643,87,Szymon Marciniak,Poland,4.2,Masour Ousmane Dembele,5.0,2.26,-0.3,3.04
66,2026-06-26,18:00,Group Stage,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,Senegal,SEN,Iraq,IRQ,5.0,0.0,Completed,3.01,0.14,Edouard Osoque Mendy,Basil Fadhil Ahmed,Iliman Cheikh Baroy Ndiaye,Daniele Orsato,2,2,871.0,False,82500,40.8136,-74.0744,7,Daniele Orsato,Italy,4.8,Iliman Cheikh Baroy Ndiaye,5.0,3.15,1.99,-0.14
