player,team,x,y,shot_statsbomb_xg,shot_outcome,shot_type,shot_body_part,shot_technique,shot_first_time,shot_one_on_one,shot_open_goal,under_pressure,minute,period,match_id,dist_to_goal,shot_angle,shot_zone,is_goal,is_on_target,shot_outcome_clean
Kieran Trippier,England,93.9,27.7,0.042866398,Blocked,Free Kick,Right Foot,Normal,,,,,50,2,3857271,28.85,25.23,Edge of Box,0,0,Blocked
Luke Shaw,England,97.9,25.1,0.021548782,Blocked,Open Play,Left Foot,Normal,True,,,,58,2,3857271,26.65,33.99,Edge of Box,0,0,Blocked
Saeid Ezatolahi Afagh,Iran,83.8,35.5,0.0065368367,Off T,Open Play,Right Foot,Normal,,,,,60,2,3857271,36.48,7.09,Long Range,0,0,Off Target
Bukayo Saka,England,105.3,46.3,0.080026746,Goal,Open Play,Left Foot,Normal,,,,,61,2,3857271,15.99,23.2,Penalty Area,1,1,Goal
Mehdi Taremi,Iran,109.7,48.0,0.065701395,Goal,Open Play,Right Foot,Normal,True,,,True,64,2,3857271,13.04,37.84,Penalty Area,1,1,Goal
Mehdi Torabi,Iran,103.5,32.3,0.045791544,Blocked,Open Play,Right Foot,Normal,,,,,69,2,3857271,18.21,25.02,Penalty Area,0,0,Blocked
Ahmad Nourollahi,Iran,97.8,34.8,0.028478073,Off T,Open Play,Left Foot,Volley,True,,,,69,2,3857271,22.8,13.18,Edge of Box,0,0,Off Target
Marcus Rashford,England,109.7,47.7,0.40810898,Goal,Open Play,Left Foot,Normal,,,,,70,2,3857271,12.86,36.78,Penalty Area,1,1,Goal
Mehdi Taremi,Iran,105.1,54.6,0.06202265,Off T,Open Play,Right Foot,Half Volley,True,,,True,76,2,3857271,20.86,44.42,Edge of Box,0,0,Off Target
Marcus Rashford,England,108.6,50.7,0.0776978,Blocked,Open Play,Left Foot,Normal,,,,,83,2,3857271,15.63,43.19,Penalty Area,0,0,Blocked
Jack Grealish,England,112.0,39.9,0.6262809,Goal,Open Play,Right Foot,Normal,True,,,,89,2,3857271,8.0,0.72,Central (12m),1,1,Goal
Sardar Azmoun,Iran,110.9,30.5,0.35130003,Saved to Post,Open Play,Right Foot,Normal,,True,,,97,2,3857271,13.16,46.23,Penalty Area,0,0,Saved
Mehdi Taremi,Iran,108.0,40.0,0.7835,Goal,Penalty,Right Foot,Normal,,,,,102,2,3857271,12.0,0.0,Penalty Area,1,1,Goal
Ivan Perišić,Croatia,102.9,23.8,0.03397081,Off T,Open Play,Right Foot,Half Volley,,,,,0,1,3857296,23.56,43.45,Edge of Box,0,0,Off Target
Yannick Ferreira Carrasco,Belgium,105.3,27.8,0.05519996,Blocked,Open Play,Right Foot,Normal,,,,,9,1,3857296,19.1,39.69,Penalty Area,0,0,Blocked
Yannick Ferreira Carrasco,Belgium,117.0,29.2,0.020840297,Blocked,Open Play,Right Foot,Normal,,,,,10,1,3857296,11.21,74.48,Central (12m),0,0,Blocked
Dries Mertens,Belgium,105.2,33.9,0.1934709,Off T,Open Play,Right Foot,Normal,True,,,True,12,1,3857296,16.01,22.4,Penalty Area,0,0,Off Target
Axel Witsel,Belgium,92.7,34.9,0.025340356,Blocked,Open Play,Right Foot,Normal,,,,,24,1,3857296,27.77,10.58,Edge of Box,0,0,Blocked
Marcelo Brozović,Croatia,99.8,36.6,0.054300383,Blocked,Open Play,Left Foot,Normal,,,,,32,1,3857296,20.48,9.55,Edge of Box,0,0,Blocked
Marko Livaja,Croatia,112.2,42.5,0.104244776,Off T,Open Play,Head,Normal,,,,True,32,1,3857296,8.19,17.77,Central (12m),0,0,Off Target
Dries Mertens,Belgium,116.9,49.2,0.108029366,Wayward,Open Play,Left Foot,Volley,True,,,,41,1,3857296,9.71,71.38,Central (12m),0,0,Off Target
Borna Sosa,Croatia,94.9,25.7,0.024362085,Off T,Open Play,Left Foot,Normal,,,,,44,1,3857296,28.89,29.67,Edge of Box,0,0,Off Target
Ivan Perišić,Croatia,108.5,38.0,0.08771692,Wayward,Open Play,Head,Normal,,,,,48,1,3857296,11.67,9.87,Central (12m),0,0,Off Target
Josip Juranović,Croatia,103.1,51.5,0.041306578,Off T,Open Play,Right Foot,Volley,True,,,,48,1,3857296,20.44,34.23,Edge of Box,0,0,Off Target
Yannick Ferreira Carrasco,Belgium,100.9,28.3,0.026916144,Wayward,Open Play,Left Foot,Half Volley,True,,,,47,2,3857296,22.4,31.49,Edge of Box,0,0,Off Target
Romelu Lukaku Menama,Belgium,117.5,34.2,0.1189759,Saved,Open Play,Head,Normal,,,,True,48,2,3857296,6.32,66.68,Central (12m),0,1,Saved
Mateo Kovačić,Croatia,103.9,29.2,0.07960723,Saved,Open Play,Right Foot,Normal,,,,,49,2,3857296,19.39,33.85,Penalty Area,0,1,Saved
Borna Sosa,Croatia,94.7,35.3,0.024012579,Off T,Open Play,Left Foot,Half Volley,,,,,49,2,3857296,25.73,10.52,Edge of Box,0,0,Off Target
Kevin De Bruyne,Belgium,100.9,32.5,0.048855886,Off T,Open Play,Left Foot,Normal,,,,True,50,2,3857296,20.52,21.44,Edge of Box,0,0,Off Target
Marcelo Brozović,Croatia,100.6,37.7,0.10219261,Saved,Open Play,Left Foot,Normal,True,,,True,53,2,3857296,19.54,6.76,Penalty Area,0,1,Saved
Luka Modrić,Croatia,105.6,52.9,0.071706615,Saved,Open Play,Left Foot,Normal,,,,True,53,2,3857296,19.33,41.86,Penalty Area,0,1,Saved
Yannick Ferreira Carrasco,Belgium,112.8,36.3,0.09935363,Blocked,Open Play,Right Foot,Normal,,,,,59,2,3857296,8.1,27.2,Central (12m),0,0,Blocked
Romelu Lukaku Menama,Belgium,110.7,45.1,0.19960539,Post,Open Play,Right Foot,Normal,True,,,True,59,2,3857296,10.61,28.74,Central (12m),0,0,Post
Romelu Lukaku Menama,Belgium,113.1,42.1,0.30245224,Off T,Open Play,Head,Normal,,,,,61,2,3857296,7.21,16.93,Central (12m),0,0,Off Target
Luka Modrić,Croatia,106.7,39.0,0.07160131,Saved,Open Play,Right Foot,Half Volley,,,,,67,2,3857296,13.34,4.3,Penalty Area,0,1,Saved
Kevin De Bruyne,Belgium,111.9,60.4,0.0061408128,Saved,Open Play,Right Foot,Normal,True,,,True,68,2,3857296,21.95,68.34,Edge of Box,0,1,Saved
Jan Vertonghen,Belgium,112.6,36.5,0.07045005,Blocked,Open Play,Head,Normal,,,,True,77,2,3857296,8.19,25.31,Central (12m),0,0,Blocked
Thomas Meunier,Belgium,110.5,53.1,0.04308796,Blocked,Open Play,Right Foot,Volley,True,,,,86,2,3857296,16.18,54.05,Penalty Area,0,0,Blocked
Romelu Lukaku Menama,Belgium,115.5,43.8,0.4909717,Off T,Open Play,Left Foot,Half Volley,,,,,86,2,3857296,5.89,40.18,Six Yard Box,0,0,Off Target
Romelu Lukaku Menama,Belgium,117.4,37.3,0.5721495,Saved,Open Play,Other,Normal,,,,,89,2,3857296,3.75,46.08,Six Yard Box,0,1,Saved
Cody Mathès Gakpo,Netherlands,100.6,31.0,0.059259485,Goal,Open Play,Left Foot,Normal,,,,,5,1,3857274,21.39,24.89,Edge of Box,1,1,Goal
Enner Remberto Valencia Lastra,Ecuador,107.0,30.0,0.062208217,Blocked,Open Play,Left Foot,Half Volley,True,,,,10,1,3857274,16.4,37.57,Penalty Area,0,0,Blocked
Moisés Isaac Caicedo Corozo,Ecuador,94.8,37.9,0.030668529,Blocked,Open Play,Right Foot,Normal,,,,,23,1,3857274,25.29,4.76,Edge of Box,0,0,Blocked
Michael Steveen Estrada Martínez,Ecuador,112.1,34.6,0.069653474,Wayward,Open Play,Left Foot,Backheel,True,,,,26,1,3857274,9.57,34.35,Central (12m),0,0,Off Target
Enner Remberto Valencia Lastra,Ecuador,100.6,23.5,0.029882463,Saved,Open Play,Right Foot,Normal,,,,,31,1,3857274,25.47,40.38,Edge of Box,0,1,Saved
Enner Remberto Valencia Lastra,Ecuador,110.2,47.9,0.024015462,Blocked,Open Play,Head,Normal,,,,True,46,1,3857274,12.59,38.87,Penalty Area,0,0,Blocked
Angelo Smit Preciado Quiñónez,Ecuador,100.6,54.0,0.022953799,Blocked,Open Play,Right Foot,Half Volley,True,,,True,47,1,3857274,23.92,35.82,Edge of Box,0,0,Blocked
Pervis Josué Estupiñán Tenorio,Ecuador,112.0,44.1,0.18923391,Wayward,Open Play,Left Foot,Half Volley,,,,,47,1,3857274,8.99,27.14,Central (12m),0,0,Off Target
Pervis Josué Estupiñán Tenorio,Ecuador,105.8,28.7,0.08083876,Saved,Open Play,Left Foot,Normal,,,,,48,2,3857274,18.15,38.51,Penalty Area,0,1,Saved
Enner Remberto Valencia Lastra,Ecuador,116.0,38.1,0.790909,Goal,Open Play,Right Foot,Half Volley,True,,True,,48,2,3857274,4.43,25.41,Six Yard Box,1,1,Goal
Enner Remberto Valencia Lastra,Ecuador,102.0,37.5,0.09564507,Blocked,Open Play,Right Foot,Normal,True,,,,58,2,3857274,18.17,7.91,Penalty Area,0,0,Blocked
Gonzalo Jordy Plata Jiménez,Ecuador,104.2,52.6,0.046335444,Post,Open Play,Left Foot,Normal,,,,,58,2,3857274,20.21,38.57,Edge of Box,0,0,Post
Michael Steveen Estrada Martínez,Ecuador,105.1,38.0,0.13418972,Wayward,Open Play,Left Foot,Normal,True,,,True,63,2,3857274,15.03,7.65,Penalty Area,0,0,Off Target
Teun Koopmeiners,Netherlands,96.5,40.9,0.04520454,Off T,Open Play,Left Foot,Normal,True,,,,65,2,3857274,23.52,2.19,Edge of Box,0,0,Off Target
Moisés Isaac Caicedo Corozo,Ecuador,103.2,29.4,0.03323832,Blocked,Open Play,Right Foot,Half Volley,,,,True,72,2,3857274,19.86,32.25,Penalty Area,0,0,Blocked
Angelo Smit Preciado Quiñónez,Ecuador,95.3,57.9,0.007451811,Off T,Open Play,Right Foot,Half Volley,True,,,,80,2,3857274,30.5,35.93,Long Range,0,0,Off Target
Angelo Smit Preciado Quiñónez,Ecuador,98.9,38.2,0.033830326,Saved,Open Play,Head,Normal,,,,,91,2,3857274,21.18,4.88,Edge of Box,0,1,Saved
Sergio Busquets i Burgos,Spain,97.0,46.1,0.03268242,Off T,Open Play,Left Foot,Normal,,,,,6,1,3857255,23.8,14.85,Edge of Box,0,0,Off Target
Junya Ito,Japan,114.0,53.5,0.04214545,Off T,Open Play,Right Foot,Normal,,,,,7,1,3857255,14.77,66.04,Penalty Area,0,0,Off Target
Álvaro Borja Morata Martín,Spain,109.9,35.6,0.06376064,Saved,Open Play,Head,Normal,,,,,8,1,3857255,11.02,23.54,Central (12m),0,1,Saved
Álvaro Borja Morata Martín,Spain,115.3,38.3,0.33106714,Goal,Open Play,Head,Normal,,,,True,11,1,3857255,5.0,19.89,Six Yard Box,1,1,Goal
Álvaro Borja Morata Martín,Spain,104.7,51.6,0.10093839,Saved,Open Play,Right Foot,Normal,True,,,,22,1,3857255,19.2,37.17,Penalty Area,0,1,Saved
Daichi Kamada,Japan,107.0,54.5,0.03356069,Blocked,Open Play,Right Foot,Normal,,,,,35,1,3857255,19.47,48.12,Penalty Area,0,0,Blocked
Daniel Olmo Carvajal,Spain,102.8,35.2,0.10385344,Blocked,Open Play,Right Foot,Normal,,,,,41,1,3857255,17.86,15.59,Penalty Area,0,0,Blocked
Ritsu Doan,Japan,100.5,55.8,0.027777622,Goal,Open Play,Left Foot,Normal,,,,,47,2,3857255,25.1,39.02,Edge of Box,1,1,Goal
Ao Tanaka,Japan,118.7,40.2,0.87261814,Goal,Open Play,Other,Normal,,,True,,50,2,3857255,1.32,8.75,Six Yard Box,1,1,Goal
Takuma Asano,Japan,100.5,36.3,0.13121767,Off T,Open Play,Right Foot,Normal,True,,,,69,2,3857255,19.85,10.74,Penalty Area,0,0,Off Target
Marco Asensio Willemsen,Spain,104.8,23.5,0.016301522,Blocked,Open Play,Left Foot,Normal,,,,,73,2,3857255,22.43,47.35,Edge of Box,0,0,Blocked
Daniel Olmo Carvajal,Spain,86.3,46.3,0.01649772,Blocked,Open Play,Right Foot,Normal,,,,,79,2,3857255,34.28,10.59,Long Range,0,0,Blocked
Ko Itakura,Japan,104.0,39.0,0.0504811,Saved,Open Play,Head,Normal,,True,,,82,2,3857255,16.03,3.58,Penalty Area,0,1,Saved
Marco Asensio Willemsen,Spain,96.8,52.1,0.02842248,Blocked,Open Play,Left Foot,Normal,,,,,84,2,3857255,26.17,27.54,Edge of Box,0,0,Blocked
Jordi Alba Ramos,Spain,97.9,27.0,0.0241939,Blocked,Open Play,Right Foot,Normal,,,,,88,2,3857255,25.64,30.47,Edge of Box,0,0,Blocked
Marco Asensio Willemsen,Spain,94.8,61.9,0.007735879,Saved,Open Play,Left Foot,Normal,,,,,88,2,3857255,33.39,40.99,Long Range,0,1,Saved
Daniel Olmo Carvajal,Spain,111.0,52.0,0.12373556,Saved,Open Play,Right Foot,Normal,True,,,,89,2,3857255,15.0,53.13,Penalty Area,0,1,Saved
Daniel Olmo Carvajal,Spain,94.2,57.0,0.008523117,Off T,Open Play,Right Foot,Normal,,,,,95,2,3857255,30.9,33.38,Long Range,0,0,Off Target
Harry Kane,England,108.9,42.6,0.10607713,Blocked,Open Play,Right Foot,Normal,True,,,,9,1,3857272,11.4,13.18,Central (12m),0,0,Blocked
John Stones,England,109.2,38.6,0.04222343,Wayward,Open Play,Head,Normal,,,,True,9,1,3857272,10.89,7.39,Central (12m),0,0,Off Target
Mason Mount,England,94.2,27.2,0.019677445,Off T,Open Play,Right Foot,Normal,True,,,,10,1,3857272,28.8,26.39,Edge of Box,0,0,Off Target
Haji Wright,United States,108.1,43.9,0.048006557,Off T,Open Play,Head,Normal,,,,True,16,1,3857272,12.52,18.15,Penalty Area,0,0,Off Target
Weston McKennie,United States,110.5,39.5,0.18268152,Off T,Open Play,Right Foot,Half Volley,True,,,,25,1,3857272,9.51,3.01,Central (12m),0,0,Off Target
Yunus Dimoara Musah,United States,93.0,25.1,0.016826272,Saved,Open Play,Right Foot,Normal,,,,,28,1,3857272,30.84,28.89,Long Range,0,1,Saved
Christian Pulisic,United States,106.4,24.4,0.023374733,Post,Open Play,Left Foot,Normal,,,,,32,1,3857272,20.7,48.92,Edge of Box,0,0,Post
Sergino Dest,United States,108.6,51.2,0.056137927,Blocked,Open Play,Left Foot,Normal,,,,,40,1,3857272,15.98,44.49,Penalty Area,0,0,Blocked
Christian Pulisic,United States,110.0,42.8,0.05394238,Off T,Open Play,Head,Normal,,,,True,42,1,3857272,10.38,15.64,Central (12m),0,0,Off Target
Bukayo Saka,England,113.2,36.1,0.08680134,Off T,Open Play,Left Foot,Normal,True,,,True,44,1,3857272,7.84,29.84,Central (12m),0,0,Off Target
Mason Mount,England,100.1,32.9,0.0710417,Saved,Open Play,Right Foot,Normal,True,,,,45,1,3857272,21.13,19.64,Edge of Box,0,1,Saved
Haji Wright,United States,106.5,28.3,0.0422633,Blocked,Open Play,Right Foot,Normal,,,,,48,2,3857272,17.86,40.91,Penalty Area,0,0,Blocked
Weston McKennie,United States,99.2,53.9,0.032319076,Off T,Open Play,Right Foot,Normal,,,,,48,2,3857272,25.02,33.75,Edge of Box,0,0,Off Target
Christian Pulisic,United States,98.8,24.7,0.025169194,Blocked,Open Play,Right Foot,Normal,,,,,57,2,3857272,26.14,35.82,Edge of Box,0,0,Blocked
Christian Pulisic,United States,95.3,40.1,0.033566043,Blocked,Open Play,Left Foot,Normal,,,,,61,2,3857272,24.7,0.23,Edge of Box,0,0,Blocked
Marcus Rashford,England,105.3,20.7,0.009332121,Saved,Open Play,Right Foot,Normal,,,,,86,2,3857272,24.26,52.7,Edge of Box,0,1,Saved
Harry Maguire,England,109.9,37.5,0.05556727,Saved,Open Play,Head,Normal,,,,True,90,2,3857272,10.4,13.9,Central (12m),0,1,Saved
Harry Kane,England,111.2,40.8,0.06991791,Off T,Open Play,Head,Normal,,,,True,92,2,3857272,8.84,5.19,Central (12m),0,0,Off Target
Yunus Dimoara Musah,United States,100.5,38.2,0.045798708,Off T,Open Play,Left Foot,Volley,,,,,8,1,3857278,19.58,5.27,Penalty Area,0,0,Off Target
Christian Pulisic,United States,110.1,35.6,0.080380306,Saved,Open Play,Head,Normal,,,,True,10,1,3857278,10.83,23.96,Central (12m),0,1,Saved
Joshua Sargent,United States,99.0,32.1,0.040954046,Blocked,Open Play,Right Foot,Normal,,,,,27,1,3857278,22.44,20.62,Edge of Box,0,0,Blocked
Timothy Weah,United States,109.7,35.9,0.12157792,Saved,Open Play,Head,Normal,,,,,27,1,3857278,11.09,21.71,Central (12m),0,1,Saved
Sergino Dest,United States,101.3,48.2,0.05512647,Blocked,Open Play,Left Foot,Normal,,,,,29,1,3857278,20.42,23.68,Edge of Box,0,0,Blocked
Timothy Weah,United States,108.7,54.1,0.04585104,Off T,Open Play,Right Foot,Normal,True,,,,32,1,3857278,18.07,51.29,Penalty Area,0,0,Off Target
Sergino Dest,United States,102.0,50.5,0.043695714,Blocked,Open Play,Right Foot,Normal,True,,,,36,1,3857278,20.84,30.26,Edge of Box,0,0,Blocked
Christian Pulisic,United States,115.1,38.7,0.5303789,Goal,Open Play,Right Foot,Half Volley,True,,True,,37,1,3857278,5.07,14.86,Six Yard Box,1,1,Goal
Joshua Sargent,United States,114.2,56.9,0.011004616,Wayward,Open Play,Right Foot,Half Volley,,True,,,41,1,3857278,17.87,71.06,Penalty Area,0,0,Off Target
Joshua Sargent,United States,110.0,25.2,0.05674209,Saved,Open Play,Left Foot,Normal,True,,,,46,2,3857278,17.86,55.95,Penalty Area,0,1,Saved
Saman Ghoddos,Iran,114.1,38.7,0.39133456,Off T,Open Play,Head,Diving Header,,,,True,51,2,3857278,6.04,12.43,Central (12m),0,0,Off Target
Yunus Dimoara Musah,United States,97.0,43.3,0.080397844,Off T,Free Kick,Right Foot,Normal,,,,,68,2,3857278,23.24,8.16,Edge of Box,0,0,Off Target
Saeid Ezatolahi Afagh,Iran,90.8,21.8,0.006830182,Off T,Open Play,Right Foot,Normal,,,,,69,2,3857278,34.41,31.93,Long Range,0,0,Off Target
Morteza Pouraliganji,Iran,111.0,35.6,0.21722858,Off T,Open Play,Head,Diving Header,,,,True,92,2,3857278,10.02,26.05,Central (12m),0,0,Off Target
Mehdi Taremi,Iran,111.1,39.5,0.30539662,Saved,Open Play,Left Foot,Volley,True,,,,97,2,3857278,8.91,3.22,Central (12m),0,1,Saved
Haji Wright,United States,105.1,23.9,0.057746947,Saved,Open Play,Left Foot,Normal,True,,,,99,2,3857278,21.94,47.22,Edge of Box,0,1,Saved
Noussair Mazraoui,Morocco,96.9,32.0,0.026111592,Blocked,Open Play,Right Foot,Half Volley,,,,True,6,1,3857277,24.45,19.1,Edge of Box,0,0,Blocked
Hakim Ziyech,Morocco,101.9,43.3,0.052363984,Blocked,Open Play,Left Foot,Normal,,,,,12,1,3857277,18.4,10.33,Penalty Area,0,0,Blocked
Ivan Perišić,Croatia,82.9,33.6,0.00976612,Off T,Open Play,Left Foot,Normal,,,,,16,1,3857277,37.65,9.79,Long Range,0,0,Off Target
Sofiane Boufal,Morocco,96.7,46.7,0.04188839,Blocked,Open Play,Left Foot,Normal,,,,,18,1,3857277,24.24,16.04,Edge of Box,0,0,Blocked
Hakim Ziyech,Morocco,94.5,37.4,0.06625415,Blocked,Free Kick,Left Foot,Normal,,,,,20,1,3857277,25.63,5.82,Edge of Box,0,0,Blocked
Youssef En-Nesyri,Morocco,117.8,31.5,0.03416934,Blocked,Open Play,Left Foot,Half Volley,,,,True,24,1,3857277,8.78,75.49,Central (12m),0,0,Blocked
Nikola Vlašić,Croatia,114.7,35.7,0.44776994,Saved,Open Play,Right Foot,Normal,True,,,,45,1,3857277,6.82,39.05,Central (12m),0,1,Saved
Nikola Vlašić,Croatia,105.2,33.9,0.06879163,Blocked,Open Play,Right Foot,Half Volley,True,,,,46,1,3857277,16.01,22.4,Penalty Area,0,0,Blocked
Luka Modrić,Croatia,98.8,39.3,0.073204115,Off T,Open Play,Left Foot,Normal,True,,,,46,1,3857277,21.21,1.89,Edge of Box,0,0,Off Target
Sofiane Boufal,Morocco,94.0,38.6,0.042848527,Blocked,Open Play,Left Foot,Normal,,,,,50,2,3857277,26.04,3.08,Edge of Box,0,0,Blocked
Noussair Mazraoui,Morocco,115.3,29.2,0.07962643,Saved,Open Play,Head,Diving Header,,True,,True,50,2,3857277,11.78,66.48,Central (12m),0,1,Saved
Dejan Lovren,Croatia,112.7,38.8,0.2503287,Blocked,Open Play,Left Foot,Normal,True,,,,51,2,3857277,7.4,9.33,Central (12m),0,0,Blocked
Achraf Hakimi Mouh,Morocco,88.5,31.5,0.019376563,Saved,Open Play,Right Foot,Normal,True,,,,64,2,3857277,32.63,15.1,Long Range,0,1,Saved
Neco Williams,Wales,99.5,23.0,0.023614733,Off T,Open Play,Right Foot,Normal,,,,True,2,1,3857273,26.63,39.67,Edge of Box,0,0,Off Target
Sardar Azmoun,Iran,97.2,31.2,0.035244513,Saved,Open Play,Right Foot,Normal,,,,,6,1,3857273,24.44,21.1,Edge of Box,0,1,Saved
Kieffer Roberto Francisco Moore,Wales,111.6,44.5,0.12850787,Saved,Open Play,Right Foot,Volley,True,,,,11,1,3857273,9.53,28.18,Central (12m),0,1,Saved
Ahmad Nourollahi,Iran,95.5,34.0,0.017788952,Blocked,Open Play,Right Foot,Normal,,,,,19,1,3857273,25.22,13.76,Edge of Box,0,0,Blocked
Sardar Azmoun,Iran,109.6,34.7,0.07202582,Off T,Open Play,Head,Normal,,,,True,22,1,3857273,11.67,27.0,Central (12m),0,0,Off Target
Gareth Frank Bale,Wales,88.9,36.5,0.02170084,Saved,Open Play,Left Foot,Volley,True,,,,28,1,3857273,31.3,6.42,Long Range,0,1,Saved
Harry Wilson,Wales,105.5,25.4,0.030164797,Blocked,Open Play,Left Foot,Normal,True,,,,41,1,3857273,20.58,45.2,Edge of Box,0,0,Blocked
Mehdi Taremi,Iran,105.7,38.8,0.08566745,Wayward,Open Play,Left Foot,Normal,True,,,,48,1,3857273,14.35,4.8,Penalty Area,0,0,Off Target
Ahmad Nourollahi,Iran,86.4,48.2,0.011584845,Saved,Open Play,Right Foot,Half Volley,,,,,49,1,3857273,34.59,13.71,Long Range,0,1,Saved
Sardar Azmoun,Iran,110.0,49.7,0.28799564,Post,Open Play,Right Foot,Normal,,True,,True,50,2,3857273,13.93,44.13,Penalty Area,0,0,Post
Ali Gholizadeh,Iran,97.2,48.0,0.04282673,Post,Open Play,Left Foot,Normal,,,,,51,2,3857273,24.16,19.33,Edge of Box,0,0,Post
Sardar Azmoun,Iran,111.0,36.2,0.21401532,Saved,Open Play,Head,Normal,,True,,,51,2,3857273,9.77,22.89,Central (12m),0,1,Saved
Kieffer Roberto Francisco Moore,Wales,114.4,39.9,0.22100283,Off T,Open Play,Head,Normal,,,,,52,2,3857273,5.6,1.02,Six Yard Box,0,0,Off Target
Ehsan Hajsafi,Iran,104.6,33.1,0.068153165,Blocked,Open Play,Left Foot,Half Volley,True,,,,55,2,3857273,16.88,24.13,Penalty Area,0,0,Blocked
Mehdi Taremi,Iran,107.1,29.4,0.075855605,Blocked,Open Play,Right Foot,Normal,,,,True,63,2,3857273,16.7,39.41,Penalty Area,0,0,Blocked
Ahmad Nourollahi,Iran,90.5,45.6,0.015279148,Blocked,Open Play,Right Foot,Normal,True,,,True,69,2,3857273,30.03,10.75,Long Range,0,0,Blocked
Morteza Pouraliganji,Iran,100.8,38.5,0.05160931,Blocked,Open Play,Left Foot,Half Volley,True,,,,71,2,3857273,19.26,4.47,Penalty Area,0,0,Blocked
Saeid Ezatolahi Afagh,Iran,99.5,49.3,0.047915842,Saved,Open Play,Right Foot,Normal,,,,,72,2,3857273,22.51,24.4,Edge of Box,0,1,Saved
Ahmad Nourollahi,Iran,85.8,53.5,0.0072957636,Blocked,Open Play,Right Foot,Normal,,,,,74,2,3857273,36.77,21.54,Long Range,0,0,Blocked
Aaron Ramsey,Wales,104.0,53.9,0.025361432,Wayward,Open Play,Right Foot,Volley,True,,,,82,2,3857273,21.19,40.98,Edge of Box,0,0,Off Target
Neco Williams,Wales,98.6,51.1,0.031851415,Blocked,Open Play,Right Foot,Normal,True,,,,82,2,3857273,24.11,27.42,Edge of Box,0,0,Blocked
