team_id,avg_possession,total_shots,total_sot,total_corners,total_fouls,total_offsides,total_saves,matches,shot_accuracy,fouls_pg,team_name,group_letter,confederation,fifa_ranking_pre_tournament,elo_rating,manager_name,fifa_code,goals_for,goals_against,total_xg,yellow_cards,red_cards,deepest_stage
40,29.67,22,6,7,32,3,11,3,27.3,10.67,Jordan,J,AFC,63,1610,Jamal Sellami,JOR,3.0,8.0,2.52,3,0,Group Stage
15,37.67,26,11,12,34,1,7,3,42.3,11.33,Australia,D,AFC,27,1790,Tony Popovic,AUS,2.0,2.0,2.28,5,0,Group Stage
28,42.0,25,11,5,22,3,11,2,44.0,11.0,New Zealand,G,OFC,85,1510,Darren Bazeley,NZL,4.0,10.0,2.23,0,0,Group Stage
12,48.5,18,3,8,22,4,4,2,16.7,11.0,Scotland,C,UEFA,39,1720,Steve Clarke,SCO,1.0,4.0,2.07,0,0,Group Stage
7,31.33,17,6,9,36,5,16,3,35.3,12.0,Qatar,B,AFC,56,1600,Julen Lopetegui,QAT,2.0,10.0,1.95,1,2,Group Stage
30,37.33,33,8,9,15,6,15,3,24.2,5.0,Cabo Verde,H,CAF,67,1640,Bubista,CPV,2.0,2.0,1.87,1,0,Group Stage
48,44.0,31,7,7,41,8,8,3,22.6,13.67,Panama,L,CONCACAF,34,1680,Thomas Christiansen,PAN,0.0,4.0,1.86,3,0,Group Stage
24,44.5,9,3,5,16,3,7,2,33.3,8.0,Tunisia,F,CAF,45,1710,Hervé Renard,TUN,2.0,12.0,1.75,0,0,Group Stage
14,30.33,24,5,2,41,4,19,3,20.8,13.67,Paraguay,D,CONMEBOL,54,1725,Gustavo Alfaro,PAR,2.0,4.0,1.73,1,1,Group Stage
43,35.67,16,4,9,42,5,10,3,25.0,14.0,Uzbekistan,K,AFC,50,1650,Fabio Cannavaro,UZB,2.0,11.0,1.57,2,0,Group Stage
31,36.33,18,7,7,37,4,18,3,38.9,12.33,Saudi Arabia,H,AFC,58,1660,Georgios Donis,KSA,1.0,5.0,1.48,3,0,Group Stage
35,36.33,21,2,10,27,2,16,3,9.5,9.0,Iraq,I,AFC,55,1630,Graham Arnold,IRQ,1.0,12.0,1.27,2,1,Group Stage
18,37.0,13,2,1,26,3,20,2,15.4,13.0,Curaçao,E,CONCACAF,82,1520,Dick Advocaat,CUW,1.0,9.0,0.84,1,0,Group Stage
