player_name,full_name,national_team,position,pos_group,age_2026,overall_rating,national_rating,finishing,positioning,sprint_speed,dribbling,vision,age_factor,goal_prob_per_game,expected_games,expected_goals,expected_assists,expected_g_plus_a,confederation,group
L. Messi,Lionel Andrés Messi Cuccittini,Argentina,"CF,RW,ST",Attacker,38,94,82.0,95,94,86,97,94,0.55,0.3079,6.8,2.09,1.39,3.48,CONMEBOL,D
K. Dolberg,Kasper Dolberg,Denmark,ST,Attacker,28,76,78.0,76,72,77,75,69,1.0,0.4581,4.5,2.06,0.66,2.72,UEFA,B
J. Hernández,Juan Camilo Hernández,Colombia,"ST,RM",Attacker,26,75,79.0,78,75,83,73,61,1.0,0.453,4.5,2.04,0.63,2.67,CONMEBOL,F
M. Gómez,Maximiliano Gómez,Uruguay,ST,Attacker,29,80,81.0,85,83,65,76,60,0.95,0.4534,4.5,2.04,0.65,2.69,CONMEBOL,G
P. Sisto,Pione Sisto Ifolo Emirmija,Denmark,"LW,LM",Attacker,31,78,78.0,76,73,84,86,75,0.95,0.4441,4.5,2.0,0.72,2.72,UEFA,B
L. de Jong,Luuk de Jong,Netherlands,ST,Attacker,35,80,81.0,79,84,57,66,69,0.72,0.3315,6.0,1.99,0.92,2.91,UEFA,D
D. Welbeck,Daniel Nii Tackie Mensah Welbeck,England,"LW,ST,LM",Attacker,35,77,82.0,75,79,83,78,71,0.72,0.3306,6.0,1.98,0.94,2.93,UEFA,E
Y. Poulsen,Yussuf Yurary Poulsen,Denmark,ST,Attacker,31,80,78.0,78,82,79,75,65,0.95,0.4368,4.5,1.97,0.65,2.62,UEFA,B
D. Mertens,Dries Mertens,Belgium,"CF,ST",Attacker,38,87,85.0,86,87,85,91,83,0.55,0.2848,6.8,1.94,1.22,3.16,UEFA,G
Iago Aspas,Iago Aspas Juncal,Spain,"ST,RW",Attacker,38,84,85.0,88,86,78,86,75,0.55,0.2808,6.8,1.91,1.12,3.03,UEFA,C
L. Muriel,Luis Fernando Muriel Fruto,Colombia,ST,Attacker,34,80,79.0,78,81,89,85,73,0.85,0.4072,4.5,1.83,0.7,2.54,CONMEBOL,F
X. Shaqiri,Xherdan Shaqiri,Switzerland,"RW,RM,CAM",Attacker,34,82,77.0,71,74,77,86,81,0.85,0.3988,4.5,1.79,0.81,2.6,UEFA,A
Luimo Boas Santos,Luan Vágner Boas Macedo,Brazil,ST,Attacker,38,79,81.0,79,82,82,82,75,0.55,0.2636,6.8,1.79,1.07,2.86,CONMEBOL,A
E. Ünal,Enes Ünal,Turkey,ST,Attacker,28,77,76.0,78,77,74,76,59,1.0,0.4651,3.8,1.77,0.52,2.29,UEFA,K
C. Ünder,Cengiz Ünder,Turkey,"RW,LW",Attacker,28,78,76.0,71,73,83,83,73,1.0,0.4598,3.8,1.75,0.6,2.35,UEFA,K
H. Lozano,Hirving Rodrigo Lozano Bahena,Mexico,"RW,LW",Attacker,30,82,77.0,77,78,93,84,75,0.95,0.4514,3.8,1.72,0.62,2.33,CONCACAF,F
M. Braithwaite,Martin Braithwaite,Denmark,"ST,LW,CAM",Attacker,34,75,78.0,73,75,78,75,68,0.85,0.3785,4.5,1.7,0.68,2.39,UEFA,B
K. Piątek,Krzysztof Piątek,Poland,ST,Attacker,30,76,77.0,82,83,75,70,52,0.95,0.4428,3.8,1.68,0.45,2.13,UEFA,I
A. Cornelius,Andreas Evald Cornelius,Denmark,ST,Attacker,32,74,78.0,75,75,67,66,59,0.85,0.3711,4.5,1.67,0.58,2.25,UEFA,B
A. Milik,Arkadiusz Milik,Poland,ST,Attacker,32,82,77.0,88,83,74,76,60,0.85,0.4201,3.8,1.6,0.53,2.12,UEFA,I
T. Weah,Timothy Weah,USA,"ST,LW",Attacker,26,69,74.0,70,65,83,69,60,1.0,0.4139,3.8,1.57,0.5,2.08,CONCACAF,E
C. Tosun,Cenk Tosun,Turkey,ST,Attacker,34,78,76.0,78,79,74,75,61,0.85,0.3956,3.8,1.5,0.54,2.05,UEFA,K
J. Sargent,Josh Sargent,USA,ST,Attacker,26,65,74.0,68,60,76,66,54,1.0,0.3949,3.8,1.5,0.45,1.95,CONCACAF,E
N. Jørgensen,Nicolai Jørgensen,Denmark,ST,Attacker,35,77,78.0,79,75,73,74,74,0.72,0.3327,4.5,1.5,0.7,2.2,UEFA,B
R. Jiménez,Raúl Alonso Jiménez Rodríguez,Mexico,ST,Attacker,34,78,77.0,76,83,76,75,72,0.85,0.3913,3.8,1.49,0.59,2.08,CONCACAF,F
J. Guidetti,John Guidetti,Sweden,ST,Attacker,33,77,76.0,76,76,65,76,65,0.85,0.3897,3.8,1.48,0.56,2.04,UEFA,L
H. Çalhanoğlu,Hakan Çalhanoğlu,Turkey,"LW,CAM",Attacker,32,80,76.0,65,75,69,85,80,0.85,0.3867,3.8,1.47,0.68,2.15,UEFA,K
R. Quaison,Robin Quaison,Sweden,"CF,ST,LW",Attacker,32,75,76.0,74,77,78,80,68,0.85,0.3857,3.8,1.47,0.6,2.06,UEFA,L
Éder,Éderzito António Macedo Lopes,Portugal,ST,Attacker,38,75,82.0,74,75,78,67,73,0.55,0.2421,6.0,1.45,0.86,2.32,UEFA,G
R. Lewandowski,Robert Lewandowski,Poland,ST,Attacker,37,90,77.0,91,91,78,85,77,0.72,0.3811,3.8,1.45,0.65,2.09,UEFA,I
M. Salah,Mohamed  Salah Ghaly,Egypt,"RW,ST",Attacker,33,89,73.0,90,92,91,89,84,0.85,0.4518,3.2,1.45,0.58,2.02,CAF,L
H. Wilson,Harry Wilson,Wales,"RW,CM",Attacker,28,74,75.0,73,72,77,73,75,1.0,0.4474,3.2,1.43,0.5,1.93,UEFA,E
G. Zardes,Gyasi Zardes,USA,ST,Attacker,34,73,74.0,73,73,88,70,67,0.85,0.3702,3.8,1.41,0.51,1.92,CONCACAF,E
A. Buksa,Adam Buksa,Poland,ST,Attacker,29,66,77.0,67,68,71,64,58,0.95,0.371,3.8,1.41,0.47,1.88,UEFA,I
M. Gavranović,Mario Gavranović,Switzerland,"ST,CAM,CF",Attacker,36,72,77.0,69,81,78,73,65,0.72,0.314,4.5,1.41,0.65,2.07,UEFA,A
B. Wood,Bobby Shou Wood,USA,ST,Attacker,33,73,74.0,75,67,77,71,38,0.85,0.368,3.8,1.4,0.45,1.85,CONCACAF,E
A. Peñaranda,Adalberto Peñaranda,Venezuela,"ST,CF",Attacker,28,73,73.0,71,72,78,79,75,1.0,0.4375,3.2,1.4,0.49,1.89,CONMEBOL,J
C. Larin,Cyle Larin,Canada,ST,Attacker,30,74,70.0,77,73,73,67,52,0.95,0.4203,3.2,1.35,0.35,1.7,CONCACAF,I
J. David,Jonathan David,Canada,"ST,CF,CAM",Attacker,26,70,70.0,74,64,80,71,62,1.0,0.4226,3.2,1.35,0.43,1.78,CONCACAF,I
J. Martínez,Josef Alexander Martínez,Venezuela,ST,Attacker,32,82,73.0,86,85,90,76,58,0.85,0.4184,3.2,1.34,0.44,1.78,CONMEBOL,J
M. Arnautović,Marko Arnautović,Austria,ST,Attacker,36,82,77.0,78,83,83,84,77,0.72,0.3499,3.8,1.33,0.65,1.98,UEFA,J
I. Kiese Thelin,Isaac Kiese Thelin,Sweden,ST,Attacker,33,72,76.0,71,74,62,65,72,0.85,0.3507,3.8,1.33,0.58,1.91,UEFA,L
J. Hernández,Javier Hernández Balcázar,Mexico,ST,Attacker,37,79,77.0,84,86,69,73,70,0.72,0.345,3.8,1.31,0.55,1.86,CONCACAF,F
S. Córdova,Sergio Córdova,Venezuela,ST,Attacker,28,68,73.0,67,65,78,71,61,1.0,0.4058,3.2,1.3,0.42,1.72,CONMEBOL,J
T. Roberts,Tyler Roberts,Wales,ST,Attacker,27,68,75.0,67,67,84,72,61,1.0,0.4068,3.2,1.3,0.43,1.73,UEFA,E
K. Toko-Ekambi,Karl Brillant Toko Ekambi,Cameroon,"ST,LW",Attacker,33,79,75.0,80,80,83,80,65,0.85,0.4044,3.2,1.29,0.47,1.76,CAF,C
J. Savarino,Jefferson Savarino,Venezuela,"RW,CAM",Attacker,29,72,73.0,66,66,84,78,69,0.95,0.4039,3.2,1.29,0.47,1.77,CONMEBOL,J
D. Machís,Darwin Machís,Venezuela,"LW,RW,CAM",Attacker,33,75,73.0,73,70,88,82,64,0.85,0.3841,3.2,1.23,0.48,1.71,CONMEBOL,J
C. Wood,Chris Wood,New Zealand,ST,Attacker,34,77,66.0,78,79,75,66,64,0.85,0.3858,3.2,1.23,0.43,1.67,OFC,L
J. Altidore,Jozy Altidore,USA,ST,Attacker,36,75,74.0,75,74,73,70,69,0.72,0.3176,3.8,1.21,0.54,1.75,CONCACAF,E
G. Bale,Gareth Frank Bale,Wales,"RW,LW,ST",Attacker,36,88,75.0,86,85,95,87,79,0.72,0.3772,3.2,1.21,0.58,1.78,UEFA,E
A. Hassan,Ahmed Hassan,Egypt,ST,Attacker,33,74,73.0,75,74,58,70,59,0.85,0.371,3.2,1.19,0.41,1.6,CAF,L
T. Lawrence,Tom Lawrence,Wales,LW,Attacker,32,72,75.0,69,71,72,76,72,0.85,0.3678,3.2,1.18,0.49,1.67,UEFA,E
C. Njie,Clinton Mua N'Jie,Cameroon,"ST,LW",Attacker,32,73,75.0,72,72,94,72,60,0.85,0.3685,3.2,1.18,0.44,1.62,CAF,C
A. Mabil,Awer Mabil,Australia,RW,Attacker,30,70,73.0,59,65,92,75,57,0.95,0.3692,3.2,1.18,0.41,1.59,AFC,H
A. Sánchez,Alexis Alejandro Sánchez Sánchez,Chile,"LW,LM",Attacker,37,84,77.0,79,83,79,85,81,0.72,0.355,3.2,1.14,0.55,1.69,CONMEBOL,C
Y. Reyna,José Yordy Reyna Serna,Peru,"ST,CAM",Attacker,32,70,73.0,67,65,88,74,66,0.85,0.3498,3.2,1.12,0.46,1.58,CONMEBOL,B
M. Rojas,Marco Rojas,New Zealand,"RW,LW",Attacker,34,69,66.0,66,60,89,72,66,0.85,0.3445,3.2,1.1,0.46,1.56,OFC,L
R. Ruidíaz,Raúl Mario Ruidíaz Misitich,Peru,ST,Attacker,35,76,73.0,80,80,86,76,65,0.72,0.3363,3.2,1.08,0.45,1.53,CONMEBOL,B
S. Gnabry,Serge Gnabry,Germany,"LM,RM,CAM,LW",Midfielder,30,83,85.0,81,80,90,87,74,0.95,0.1572,6.8,1.07,1.8,2.87,UEFA,F
T. Akindele,Tesho Akindele,Canada,"ST,LM",Attacker,34,66,70.0,63,62,87,64,58,0.85,0.3291,3.2,1.05,0.39,1.44,CONCACAF,I
E. Choupo-Moting,Jean-Eric Maxim Choupo-Moting,Cameroon,"ST,LW",Attacker,36,77,75.0,75,77,78,83,70,0.72,0.3291,3.2,1.05,0.51,1.56,CAF,C
Saúl,Saúl Ñíguez Esclápez,Spain,"CM,LM,RM",Midfielder,31,85,85.0,78,82,73,80,82,0.95,0.1523,6.8,1.04,1.97,3.01,UEFA,C
J. Brandt,Julian Brandt,Germany,"LM,RM,CAM",Midfielder,29,81,85.0,77,78,84,87,82,0.95,0.1511,6.8,1.03,1.89,2.92,UEFA,F
S. Rondón,José Salomón Rondón Giménez,Venezuela,ST,Attacker,36,77,73.0,75,77,68,70,53,0.72,0.3232,3.2,1.03,0.4,1.43,CONMEBOL,J
Y. Tielemans,Youri Tielemans,Belgium,"CM,CDM",Midfielder,28,78,85.0,73,74,53,76,81,1.0,0.1512,6.8,1.03,1.88,2.91,UEFA,G
S. Vokes,Sam Vokes,Wales,ST,Attacker,36,75,75.0,77,78,55,65,70,0.72,0.3198,3.2,1.02,0.47,1.49,UEFA,E
T. Lemar,Thomas Lemar,France,"LM,CAM,RM",Midfielder,30,83,84.0,75,78,84,85,84,0.95,0.1505,6.8,1.02,1.96,2.98,UEFA,B
G. Lo Celso,Giovani Lo Celso,Argentina,"CM,CAM,CDM",Midfielder,29,82,82.0,77,79,79,84,84,0.95,0.1505,6.8,1.02,1.98,3.01,CONMEBOL,D
J. Kodjia,Jonathan Kodjia,Ivory Coast,"ST,LW",Attacker,36,74,75.0,73,75,84,77,58,0.72,0.3166,3.2,1.01,0.42,1.43,CAF,J
J. Hoilett,David Junior Hoilett,Canada,"LW,LM,RM",Attacker,35,74,70.0,68,71,87,76,73,0.72,0.3149,3.2,1.01,0.49,1.5,CONCACAF,I
L. Goretzka,Leon Goretzka,Germany,"CM,CAM,CDM",Midfielder,31,83,85.0,73,79,79,81,82,0.95,0.148,6.8,1.01,1.95,2.96,UEFA,F
K. De Bruyne,Kevin De Bruyne,Belgium,"CAM,CM",Midfielder,34,91,85.0,82,87,76,86,94,0.85,0.146,6.8,0.99,2.19,3.18,UEFA,G
P. Dybala,Paulo Bruno Exequiel Dybala,Argentina,"CAM,RW",Midfielder,32,89,82.0,84,84,83,92,87,0.85,0.1456,6.8,0.99,2.03,3.02,CONMEBOL,D
F. Thauvin,Florian Thauvin,France,"RM,RW",Midfielder,33,84,84.0,81,83,80,85,80,0.85,0.141,6.8,0.96,1.92,2.88,UEFA,B
D. Alli,Bamidele Alli,England,CAM,Midfielder,29,85,82.0,83,88,76,83,85,0.95,0.1574,6.0,0.94,1.76,2.7,UEFA,E
J. Draxler,Julian Draxler,Germany,"CM,LW,LM,CAM",Midfielder,32,83,85.0,78,79,77,88,84,0.85,0.1386,6.8,0.94,1.98,2.93,UEFA,F
Dani Ceballos,Daniel Ceballos Fernández,Spain,"CM,LM",Midfielder,29,81,85.0,68,76,67,85,83,0.95,0.1388,6.8,0.94,1.97,2.91,UEFA,C
P. Pogba,Paul Pogba,France,"CM,CAM",Midfielder,32,88,84.0,75,82,79,87,88,0.85,0.1383,6.8,0.94,2.09,3.03,UEFA,B
T. Ndombele,Tanguy NDombèlé Alvaro,France,"CM,CDM",Midfielder,29,80,84.0,59,70,76,86,79,0.95,0.1363,6.8,0.93,1.93,2.85,UEFA,B
Isco,Francisco Román Alarcón Suárez,Spain,"CAM,CM,LW",Midfielder,33,87,85.0,79,78,69,94,86,0.85,0.1365,6.8,0.93,2.04,2.97,UEFA,C
Rodri,Rodrigo Hernández Cascante,Spain,"CM,CDM",Midfielder,29,82,85.0,64,75,66,77,83,0.95,0.1357,6.8,0.92,1.95,2.88,UEFA,C
L. Dendoncker,Leander Dendoncker,Belgium,"CDM,CB,CM",Midfielder,30,79,85.0,66,71,68,69,76,0.95,0.1353,6.8,0.92,1.82,2.74,UEFA,G
Koke,Jorge Resurrección Merodio,Spain,"LM,CM,RM",Midfielder,34,85,85.0,72,82,68,80,87,0.85,0.1333,6.8,0.91,2.07,2.97,UEFA,C
Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,Portugal,"CAM,CM,RW,RM",Midfielder,31,86,82.0,75,83,77,92,86,0.95,0.1518,6.0,0.91,1.78,2.69,UEFA,G
D. van de Beek,Donny van de Beek,Netherlands,"CAM,CM",Midfielder,28,77,81.0,75,77,65,74,76,1.0,0.151,6.0,0.91,1.6,2.5,UEFA,D
E. Lamela,Erik Lamela,Argentina,"RM,LM",Midfielder,34,81,82.0,74,79,74,86,83,0.85,0.134,6.8,0.91,1.93,2.85,CONMEBOL,D
L. Paredes,Leandro Paredes,Argentina,"CM,CDM",Midfielder,31,80,82.0,55,74,69,78,82,0.95,0.1342,6.8,0.91,1.96,2.87,CONMEBOL,D
Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,Portugal,"LM,ST,RM,LW",Midfielder,29,82,82.0,75,77,90,86,77,0.95,0.1501,6.0,0.9,1.6,2.5,UEFA,G
Thiago,Thiago Alcântara do Nascimento,Spain,"CM,CAM,CDM",Midfielder,34,87,85.0,69,79,69,90,86,0.85,0.1316,6.8,0.9,2.09,2.98,UEFA,C
Bruma,Armindo Tué Na Bangna,Portugal,"CAM,LM",Midfielder,31,78,82.0,71,73,89,87,70,0.95,0.1465,6.0,0.88,1.5,2.37,UEFA,G
Renato Sanches,Renato Júnior Luz Sanches,Portugal,CM,Midfielder,28,75,82.0,65,70,77,77,67,1.0,0.1454,6.0,0.87,1.5,2.37,UEFA,G
H. Vanaken,Hans Vanaken,Belgium,"CAM,CF",Midfielder,33,79,85.0,74,81,55,77,83,0.85,0.1271,6.8,0.86,1.95,2.82,UEFA,G
M. Reus,Marco Reus,Germany,"CAM,LM,ST",Midfielder,36,88,85.0,87,88,84,87,86,0.72,0.1256,6.8,0.85,2.02,2.87,UEFA,F
Q. Promes,Quincy Anton Promes,Netherlands,"LM,ST,RM",Midfielder,34,83,81.0,86,79,91,84,81,0.85,0.1418,6.0,0.85,1.65,2.51,UEFA,D
T. Vilhena,Tonny Emilio Trindade de Vilhena,Netherlands,CM,Midfielder,31,78,81.0,70,70,73,77,73,0.95,0.1402,6.0,0.84,1.59,2.43,UEFA,D
Rúben Neves,Rúben Diogo da Silva Neves,Portugal,CM,Midfielder,28,81,82.0,64,63,64,74,85,1.0,0.1406,6.0,0.84,1.76,2.6,UEFA,G
Adilson Edrada,Adilson Patrick Edrada Pereira,Brazil,CAM,Midfielder,34,75,81.0,73,76,82,75,77,0.85,0.1236,6.8,0.84,1.73,2.57,CONMEBOL,A
J. Maddison,James Maddison,England,"CAM,LM",Midfielder,29,77,82.0,69,69,74,77,81,0.95,0.14,6.0,0.84,1.64,2.48,UEFA,E
M. Gradel,Max-Alain Gradel,Ivory Coast,"LW,LM",Attacker,38,78,75.0,78,76,84,82,74,0.55,0.2585,3.2,0.83,0.52,1.34,CAF,J
N. Kanté,N'Golo Kanté,France,"CDM,CM",Midfielder,34,89,84.0,65,71,78,79,80,0.85,0.1215,6.8,0.83,1.95,2.78,UEFA,B
E. Can,Emre Can,Germany,"CM,CDM",Midfielder,32,80,85.0,60,73,73,76,79,0.85,0.1204,6.8,0.82,1.89,2.71,UEFA,F
T. Müller,Thomas Müller,Germany,"CAM,RM,RW,CF",Midfielder,36,86,85.0,87,92,75,75,85,0.72,0.1208,6.8,0.82,1.92,2.74,UEFA,F
L. Pellegrini,Lorenzo Pellegrini,Italy,"CM,CAM,CDM",Midfielder,29,79,83.0,60,74,74,77,79,0.95,0.1345,6.0,0.81,1.69,2.5,UEFA,H
F. de Jong,Frenkie de Jong,Netherlands,"CM,CDM,CB",Midfielder,28,82,81.0,52,66,78,86,85,1.0,0.1329,6.0,0.8,1.79,2.58,UEFA,D
Dani Rochelinhas,Danilo Manuel Aldair Rochela,Brazil,"CAM,CM",Midfielder,34,75,81.0,64,77,72,75,76,0.85,0.1173,6.8,0.8,1.77,2.57,CONMEBOL,A
F. Bernardeschi,Federico Bernardeschi,Italy,"RM,CF",Midfielder,32,82,83.0,70,78,83,86,80,0.85,0.1328,6.0,0.8,1.67,2.47,UEFA,H
Gervinho,Gervais Lombe Yao Kouassi,Ivory Coast,"LW,RW,ST",Attacker,38,78,75.0,72,78,90,80,74,0.55,0.248,3.2,0.79,0.51,1.31,CAF,J
N. Barella,Nicolò Barella,Italy,CM,Midfielder,29,78,83.0,63,65,77,80,74,0.95,0.1308,6.0,0.78,1.63,2.41,UEFA,H
T. Kroos,Toni Kroos,Germany,CM,Midfielder,36,90,85.0,76,78,62,81,90,0.72,0.1148,6.8,0.78,2.15,2.93,UEFA,F
V. Grifo,Vincenzo Grifo,Italy,LM,Midfielder,32,77,83.0,72,73,66,83,70,0.85,0.1289,6.0,0.77,1.49,2.26,UEFA,H
I. Gündoğan,İlkay Gündoğan,Germany,"CM,CDM",Midfielder,35,84,85.0,74,79,68,85,86,0.72,0.1113,6.8,0.76,2.05,2.81,UEFA,F
R. Gagliardini,Roberto Gagliardini,Italy,"CDM,CM",Midfielder,31,78,83.0,54,68,68,75,73,0.95,0.1262,6.0,0.76,1.58,2.33,UEFA,H
R. Barkley,Ross Barkley,England,"CAM,CM",Midfielder,32,79,82.0,68,71,70,83,79,0.85,0.1261,6.0,0.76,1.68,2.44,UEFA,E
João Mário,João Mário Naval Costa Eduardo,Portugal,"CAM,LW,CM,RM",Midfielder,33,81,82.0,64,77,69,83,81,0.85,0.1247,6.0,0.75,1.71,2.45,UEFA,G
H. Winks,Harry Winks,England,"CM,CDM",Midfielder,30,79,82.0,54,64,70,79,80,0.95,0.1226,6.0,0.74,1.69,2.42,UEFA,E
R. Pereyra,Roberto Pereyra,Argentina,"LM,CAM,CM",Midfielder,35,80,82.0,74,76,76,84,80,0.72,0.1088,6.8,0.74,1.9,2.64,CONMEBOL,D
N. Chadli,Nacer Chadli,Belgium,"LM,RM,LW",Midfielder,36,77,85.0,73,74,78,80,75,0.72,0.1092,6.8,0.74,1.77,2.51,UEFA,G
A. Witsel,Axel  Witsel,Belgium,"CDM,CM",Midfielder,37,85,85.0,71,75,73,78,80,0.72,0.1077,6.8,0.73,1.98,2.71,UEFA,G
D. Pröpper,Davy Pröpper,Netherlands,CM,Midfielder,34,78,81.0,62,68,63,74,82,0.85,0.1193,6.0,0.72,1.64,2.36,UEFA,D
Sidney Pessinho,Sidney Adrián Pessoa Vidigal,Brazil,"CDM,CM",Midfielder,34,78,81.0,56,52,72,72,72,0.85,0.1063,6.8,0.72,1.76,2.48,CONMEBOL,A
M. Verratti,Marco Verratti,Italy,"CM,CDM",Midfielder,33,86,83.0,60,71,62,90,87,0.85,0.1159,6.0,0.7,1.86,2.56,UEFA,H
Jorginho,Luiz Frello Filho Jorge,Italy,CM,Midfielder,34,83,83.0,57,68,61,82,87,0.85,0.1154,6.0,0.69,1.83,2.52,UEFA,H
M. de Roon,Marten de Roon,Netherlands,"CM,CDM",Midfielder,34,76,81.0,60,69,68,68,72,0.85,0.114,6.0,0.68,1.54,2.22,UEFA,D
Sergio Busquets,Sergio Busquets i Burgos,Spain,"CDM,CM",Midfielder,37,89,85.0,67,77,52,80,87,0.72,0.1007,6.8,0.68,2.04,2.73,UEFA,C
